,Q1,Q2,Q3,Q4
454,1,1,1,1
455,3,2,2,1
456,5,5,4,3
457,4,3,2,1
458,2,2,3,2
459,2,3,2,1
460,4,3,2,2
461,5,6,4,3
462,4,3,2,2
463,3,2,2,1
464,1,1,1,1
465,4,4,4,4
466,4,5,4,5
467,4,3,3,2
468,4,3,2,2
469,5,6,5,4
470,2,2,1,1
471,4,4,3,3
472,2,3,2,1
473,3,4,2,2
474,2,2,1,1
475,5,4,3,2
476,2,2,1,1
477,1,1,1,1
478,5,4,3,2
479,6,5,4,3
480,4,3,3,2
481,2,2,1,1
482,4,3,2,2
483,2,2,1,1
484,3,2,2,1
485,2,2,1,1
486,4,3,3,2
487,3,4,3,2
488,2,3,2,1
489,3,2,2,1
490,3,3,2,2
491,1,1,1,1
492,2,2,2,1
493,2,3,2,1
494,4,3,2,2
495,2,2,1,1
496,2,2,2,1
497,5,4,2,2
498,1,1,1,1
499,1,1,1,1
500,2,2,1,1
501,2,3,1,1
502,2,3,2,1
503,3,3,2,2
504,5,4,3,2
505,2,2,1,1
506,5,4,4,4
507,4,5,3,2
508,3,2,2,1
509,5,6,4,3
510,4,4,3,2
511,5,5,3,3
512,3,2,2,1
513,5,4,3,3
514,2,2,1,1
515,2,3,1,1
516,3,4,2,1
517,2,2,1,1
518,3,3,2,1
519,5,4,2,1
520,4,3,2,1
521,4,3,2,2
522,3,2,1,1
523,4,3,2,2
524,3,2,2,1
525,1,2,1,1
526,1,1,1,1
527,2,3,2,1
528,4,3,2,1
529,1,1,1,1
530,1,1,1,1
531,2,3,1,1
532,1,1,1,1
533,2,2,1,1
534,3,3,2,2
535,5,5,3,3
536,3,2,2,1
537,2,1,1,1
538,5,4,3,3
539,5,4,3,2
540,2,3,2,1
541,6,5,4,3
542,6,5,4,3
543,4,3,2,2
544,2,3,2,1
545,5,3,2,2
546,3,3,2,2
547,6,5,3,2
548,4,4,3,2
549,4,3,2,2
550,3,3,2,2
551,2,1,1,1
552,2,1,1,1
553,6,5,4,3
554,3,4,4,2
555,1,2,1,1
556,3,4,2,1
557,1,1,1,1
558,2,2,1,1
559,5,4,3,3
560,1,2,1,1
561,3,2,2,1
562,3,2,2,1
563,1,1,1,1
564,3,2,2,1
565,3,3,2,2
566,1,1,1,1
567,6,5,3,2
568,5,4,3,3
569,2,2,2,1
570,2,2,1,1
571,4,3,2,2
572,2,3,2,1
573,2,2,1,1
574,2,2,1,1
575,1,1,1,1
576,6,5,4,4
577,5,4,2,5
578,5,3,2,2
579,3,2,2,1
580,3,3,2,2
581,5,3,2,1
582,4,3,2,1
583,1,2,1,1
584,2,3,2,1
585,4,5,3,2
586,2,2,2,1
587,1,1,1,1
588,3,2,1,1
589,2,1,1,1
590,2,3,2,1
591,5,3,2,2
592,2,3,2,1
593,4,3,2,2
594,4,3,2,2
595,4,3,2,2
596,2,2,1,1
597,3,2,2,2
598,3,3,2,2
599,2,1,1,1
600,3,2,2,1
601,3,3,2,2
602,2,3,2,1
603,3,2,2,1
604,2,3,1,1
605,3,2,2,1
606,3,2,2,1
607,4,3,2,2
608,1,1,1,1
609,2,3,2,1
610,2,3,2,1
611,1,1,1,1
612,3,2,2,2
613,1,1,1,1
614,3,4,2,1
615,2,2,1,1
616,2,2,1,1
617,4,3,3,2
618,2,2,1,1
619,2,2,1,1
620,4,3,2,1
621,3,2,2,1
622,3,4,2,1
623,2,2,2,1
624,2,2,2,1
625,2,3,2,1
626,1,1,1,1
627,5,4,3,2
628,1,1,1,1
629,4,5,3,2
630,2,3,2,1
631,1,1,1,1
632,3,4,2,2
633,5,4,2,1
634,1,1,1,1
635,2,3,2,1
636,5,6,4,3
637,5,4,3,2
638,2,2,2,1
639,2,3,2,1
640,2,2,2,1
641,3,2,2,1
642,3,2,2,2
643,2,3,3,3
644,3,4,2,1
645,4,4,5,3
646,3,2,2,2
647,6,5,4,3
648,3,2,2,1
649,2,3,2,1
650,4,3,2,2
651,1,1,1,1
652,1,1,1,1
653,3,2,2,1
654,1,2,1,1
655,1,1,1,1
656,3,4,2,2
657,3,3,2,1
658,5,4,3,2
659,4,3,2,2
660,2,3,1,1
661,2,2,2,1
662,2,2,2,1
663,2,2,2,1
664,2,1,1,1
665,1,1,1,1
666,3,3,2,1
667,3,3,2,2
668,1,2,1,1
669,2,2,2,1
670,2,2,1,1
671,2,2,1,1
672,1,1,1,1
673,4,4,3,2
674,2,3,2,1
675,3,2,2,1
676,4,4,3,3
677,1,2,1,1
678,2,3,2,1
679,4,3,3,2
680,3,3,2,2
681,2,2,1,1
682,3,3,2,1
683,4,5,3,2
684,5,4,3,2
685,6,3,2,2
686,4,3,2,2
687,4,3,2,2
688,2,3,2,1
689,2,2,1,1
690,2,3,2,1
691,1,1,1,1
692,3,2,2,1
693,6,3,2,2
694,3,2,1,1
695,2,2,2,1
696,3,4,2,2
697,5,4,4,3
698,1,1,1,1
699,4,3,2,2
700,3,2,2,1
701,3,2,2,2
702,2,3,2,1
703,3,3,2,2
704,5,4,3,2
705,1,1,1,1
706,3,2,2,2
707,3,2,2,1
708,3,2,2,1
709,2,2,1,1
710,4,3,2,1
711,5,3,2,2
712,3,2,2,1
713,3,2,2,1
714,4,3,2,2
715,1,2,1,1
716,3,2,1,1
717,3,2,2,2
718,3,2,2,1
719,3,3,2,2
720,2,3,1,1
721,1,2,1,1
722,1,1,1,1
723,4,3,2,1
724,3,4,2,1
725,3,2,1,1
726,3,2,2,1
727,4,4,3,2
728,5,4,3,3
729,2,2,1,1
730,2,2,1,1
731,2,3,2,1
732,1,1,1,1
733,2,2,1,1
734,6,6,5,4
735,2,2,1,1
736,2,2,1,1
737,5,5,3,3
738,5,6,4,3
739,5,5,4,3
740,4,3,2,2
741,3,4,2,2
742,4,5,3,2
743,1,1,1,1
744,1,1,1,1
745,5,6,3,2
746,2,3,2,1
747,5,4,3,3
748,3,2,2,1
749,2,2,2,1
750,4,3,2,2
751,3,4,3,2
752,3,3,2,1
753,2,3,2,1
754,4,4,3,3
755,3,3,2,1
756,2,2,1,1
757,2,3,2,1
758,3,2,2,1
759,4,3,2,2
760,4,3,2,2
761,3,2,1,1
762,3,4,3,2
763,3,2,2,2
764,3,2,2,2
765,2,3,1,1
766,3,2,2,2
767,2,3,2,1
768,3,2,2,2
769,1,2,1,1
770,3,2,2,1
771,2,2,2,1
772,3,2,2,2
773,2,2,1,1
774,1,1,1,1
775,4,3,3,2
776,3,2,1,1
777,3,3,2,2
778,3,3,2,2
779,3,2,2,1
780,7,5,4,3
781,2,2,2,1
782,2,2,1,1
783,2,3,2,1
784,5,3,2,1
785,3,2,2,2
786,2,3,2,1
787,3,4,3,2
788,2,3,1,1
789,4,5,3,2
790,3,3,2,2
791,6,6,5,5
792,4,5,3,2
793,3,3,2,2
794,2,2,1,1
795,2,3,2,1
796,4,3,2,1
797,2,2,1,2
798,4,3,2,2
799,2,3,2,1
800,5,4,3,3
801,2,2,1,1
802,2,2,1,1
803,1,1,1,1
804,3,2,2,1
805,2,3,1,1
806,3,2,2,1
807,2,2,1,1
808,2,3,2,1
809,2,2,1,1
810,3,2,2,1
811,4,3,2,1
812,3,4,2,2
813,2,2,1,1
814,2,2,1,1
815,3,3,2,2
816,3,2,2,1
817,6,6,5,4
818,3,2,2,1
819,5,6,4,3
820,5,4,3,3
821,5,4,3,2
822,3,2,1,1
823,2,3,2,1
824,2,2,2,1
825,3,2,1,1
826,2,3,2,1
827,3,2,2,1
828,2,2,1,1
829,2,2,1,1
830,6,6,5,4
831,3,3,3,4
832,2,2,1,1
833,2,3,2,1
834,2,2,1,1
835,2,3,2,1
836,4,3,2,2
837,5,4,3,3
838,6,5,4,2
839,1,1,1,1
840,2,2,1,1
841,3,3,2,2
842,2,3,2,1
843,4,5,4,3
844,3,3,3,2
845,5,4,3,3
846,2,2,2,1
847,2,2,1,1
848,2,2,1,1
849,2,3,2,1
850,4,3,3,2
851,2,1,1,1
852,2,3,2,1
853,4,3,2,2
854,4,3,2,2
855,3,2,2,1
856,4,3,2,3
857,3,2,2,1
858,3,3,2,2
859,3,4,3,2
860,4,3,2,2
861,4,4,4,4
862,1,1,1,1
863,4,4,3,2
864,1,1,1,1
865,4,3,3,2
866,3,2,2,2
867,3,4,2,2
868,2,3,2,1
869,5,4,3,2
870,3,2,2,2
871,3,3,2,2
872,2,2,2,1
873,3,3,2,2
874,5,3,3,2
875,5,4,4,3
876,2,3,1,1
877,4,3,2,2
878,3,3,2,2
879,3,2,1,1
880,6,5,3,2
881,4,3,2,2
882,1,1,1,1
883,5,4,3,2
884,2,3,2,1
885,2,3,2,1
886,2,2,1,1
887,4,5,3,2
888,1,1,1,1
889,1,1,1,1
890,2,3,2,1
891,4,3,2,2
892,6,6,5,4
893,4,5,3,3
894,2,2,1,1
895,3,2,2,2
896,1,2,1,1
897,2,2,1,1
898,2,2,2,1
899,6,5,3,2
900,4,4,3,3
901,1,1,1,1
902,2,1,1,1
903,3,2,2,1
904,2,2,1,2
905,2,2,1,1
906,1,1,1,1
907,3,2,2,1
908,6,5,4,3
909,6,5,4,4
910,2,2,2,1
911,3,2,2,2
912,2,3,1,1
913,2,3,2,1
914,2,2,1,1
915,2,2,1,1
916,2,3,2,1
917,1,1,1,1
918,1,1,1,1
919,4,3,2,2
920,6,6,5,4
921,3,2,1,1
922,2,2,1,1
923,2,2,1,1
924,3,4,2,2
925,3,2,2,1
926,3,2,1,1
927,3,3,2,2
928,1,1,1,1
929,5,4,3,2
930,1,1,1,1
931,2,2,1,1
932,3,4,2,1
933,2,3,2,1
934,3,3,2,2
935,2,3,2,1
936,2,2,1,1
937,3,3,2,2
938,3,2,1,1
939,2,2,2,1
940,2,2,1,1
941,3,3,2,1
942,4,3,2,2
943,2,2,1,1
944,5,4,3,3
945,4,3,3,2
946,1,2,1,1
947,3,2,2,1
948,3,2,2,1
949,5,3,2,1
950,3,2,2,1
951,2,1,1,1
952,3,2,2,1
953,3,2,2,1
954,3,2,2,1
955,3,4,2,2
956,2,2,1,1
957,2,2,2,1
958,5,4,3,2
959,2,3,1,1
960,6,5,3,2
961,4,3,2,2
962,2,2,1,1
963,2,2,1,1
964,3,2,2,1
965,2,3,1,1
966,2,2,1,1
967,2,2,2,1
968,4,3,2,2
969,3,4,2,2
970,1,2,1,1
971,3,2,2,1
972,3,3,2,2
973,2,2,1,1
974,4,4,3,3
975,4,3,2,2
976,7,7,7,7
977,3,2,2,1
978,3,2,2,2
979,2,2,1,1
980,3,2,2,1
981,3,2,2,1
982,4,5,3,2
983,3,3,2,2
984,2,3,2,2
985,5,6,4,2
986,2,3,2,1
987,2,2,1,1
988,4,3,2,2
989,2,2,1,1
990,2,2,1,1
991,3,2,2,1
992,4,3,2,2
993,6,5,4,4
994,1,1,1,1
995,2,2,1,1
996,5,4,3,3
997,2,2,1,1
998,3,4,2,1
999,4,3,2,1
1000,4,3,2,2
1001,3,2,2,1
1002,2,2,1,1
1003,3,2,1,1
1004,3,2,2,1
1005,4,3,2,1
1006,5,4,3,2
1007,3,2,2,2
1008,4,3,3,2
1009,4,4,3,2
1010,3,3,2,2
1011,2,2,1,1
1012,5,4,3,2
1013,2,2,1,1
1014,3,2,2,1
1015,4,4,3,2
1016,2,3,2,1
1017,5,4,3,2
1018,3,2,2,1
1019,2,2,1,1
1020,3,2,2,1
1021,3,3,2,2
1022,4,3,2,2
1023,2,3,2,1
1024,3,4,2,2
1025,4,3,3,2
1026,2,2,2,1
1027,3,3,2,2
1028,3,3,2,2
1029,3,2,2,1
1030,5,3,2,1
1031,4,3,2,2
1032,1,2,1,1
1033,2,2,1,1
1034,2,3,2,1
1035,1,1,1,1
1036,2,3,2,1
1037,2,2,1,1
1038,1,1,1,1
1039,5,4,3,2
1040,5,6,4,3
1041,5,4,3,2
1042,4,3,3,2
1043,2,2,2,2
1044,2,2,1,1
1045,5,4,3,2
1046,3,2,1,1
1047,6,5,3,2
1048,2,3,2,1
1049,2,2,2,1
1050,3,2,1,1
1051,6,5,4,3
1052,2,2,2,1
1053,3,2,2,1
1054,3,2,2,1
1055,5,4,3,2
1056,3,2,2,2
1057,2,2,1,1
1058,2,2,1,1
1059,1,1,1,1
1060,1,2,1,1
1061,3,4,2,1
1062,3,3,2,3
1063,3,3,2,2
1064,4,3,2,2
1065,5,4,3,3
1066,3,5,3,3
1067,3,2,2,1
1068,3,4,3,3
1069,3,3,2,2
1070,2,2,2,1
1071,2,2,2,1
1072,1,1,1,1
1073,5,5,4,3
1074,3,3,2,2
1075,3,2,2,2
1076,2,2,1,1
1077,4,5,3,4
1078,2,3,2,1
1079,4,3,2,1
1080,4,4,3,3
1081,2,3,2,1
1082,6,5,4,4
1083,2,2,1,1
1084,3,3,2,1
1085,3,2,2,1
1086,2,3,1,1
1087,4,3,2,2
1088,6,6,5,5
1089,6,3,2,2
1090,2,3,1,1
1091,3,2,2,1
1092,3,2,1,1
1093,3,3,2,2
1094,2,3,2,1
1095,4,4,4,4
1096,2,3,2,1
1097,1,1,1,1
1098,4,3,2,2
1099,5,5,3,2
1100,2,2,1,1
1101,2,3,1,1
1102,1,2,1,1
1103,2,2,2,1
1104,3,2,2,1
1105,4,2,1,1
1106,2,3,1,1
1107,3,3,2,2
1108,4,3,2,2
1109,2,2,1,2
1110,4,3,2,2
1111,3,2,2,1
1112,5,5,4,4
1113,5,4,3,3
1114,3,3,2,1
1115,5,4,3,2
1116,4,3,2,2
1117,5,4,3,2
1118,3,2,1,1
1119,4,3,2,2
1120,4,3,3,2
1121,2,3,2,1
1122,3,3,2,2
1123,2,3,2,1
1124,3,3,2,2
1125,3,4,2,2
1126,3,3,2,2
1127,3,2,2,1
1128,2,2,1,1
1129,3,2,2,1
1130,2,3,2,1
1131,1,1,1,1
1132,3,2,2,1
1133,2,3,2,2
1134,1,1,1,1
1135,2,2,1,1
1136,3,2,2,1
1137,5,3,2,2
1138,3,2,2,1
1139,3,2,2,2
1140,3,2,2,1
1141,3,2,1,1
1142,3,3,2,2
1143,4,3,5,6
1144,3,2,2,1
1145,3,2,2,1
1146,3,2,2,1
1147,5,4,3,2
1148,3,2,2,1
1149,2,2,1,1
1150,2,3,2,1
1151,3,2,2,1
1152,3,2,2,1
1153,2,2,1,1
1154,2,3,2,1
1155,2,2,1,1
1156,3,4,2,1
1157,3,3,2,2
1158,3,3,2,2
1159,5,3,3,2
1160,1,2,1,1
1161,6,5,4,5
1162,4,3,2,2
1163,3,3,2,2
1164,2,2,1,1
1165,1,1,1,1
1166,3,2,2,2
1167,3,3,2,2
1168,4,3,2,2
1169,1,2,1,1
1170,3,2,1,1
1171,2,2,1,1
1172,4,3,3,2
1173,2,2,2,1
1174,1,1,1,1
1175,1,1,1,1
1176,3,2,2,1
1177,3,3,2,2
1178,1,1,1,1
1179,3,3,2,2
1180,5,4,3,2
1181,3,4,2,1
1182,3,2,1,1
1183,6,5,4,5
1184,3,3,2,2
1185,2,2,1,1
1186,3,3,2,2
1187,3,3,2,2
1188,2,2,1,1
1189,4,3,2,2
1190,3,2,2,1
1191,3,3,2,2
1192,2,2,2,1
1193,3,2,2,1
1194,6,4,3,2
1195,3,2,1,1
1196,3,3,2,2
1197,5,4,3,3
1198,3,3,2,2
1199,4,3,3,2
1200,1,1,1,1
1201,2,3,2,1
1202,3,2,2,1
1203,3,3,2,1
1204,2,2,1,1
1205,3,3,2,2
1206,4,3,2,2
1207,5,5,3,3
1208,3,2,1,1
1209,3,4,2,2
1210,3,2,2,1
1211,3,3,2,2
1212,2,2,1,1
1213,4,3,3,2
1214,4,4,3,2
1215,3,2,2,3
1216,3,2,2,1
1217,3,2,2,1
1218,4,3,2,2
1219,3,2,2,1
1220,4,3,2,1
1221,3,2,2,1
1222,2,2,1,1
1223,1,1,1,1
1224,3,2,2,1
1225,3,4,2,2
1226,2,2,1,1
1227,2,3,1,1
1228,3,4,2,1
1229,3,3,2,2
1230,1,2,1,1
1231,2,2,1,1
1232,5,4,3,2
1233,5,6,4,3
1234,2,2,1,1
1235,5,4,4,3
1236,3,2,1,1
1237,5,5,4,3
1238,5,4,3,3
1239,2,2,2,1
1240,2,3,2,2
1241,2,2,2,1
1242,1,1,1,1
1243,1,1,1,1
1244,1,1,1,1
1245,2,2,1,1
1246,3,2,2,1
1247,3,2,2,2
1248,3,3,2,2
1249,2,2,1,1
1250,5,4,3,2
1251,1,1,1,1
1252,4,5,3,2
1253,4,4,3,2
1254,3,3,2,1
1255,2,3,2,2
1256,2,2,1,1
1257,2,3,1,1
1258,2,2,2,1
1259,3,4,3,2
1260,3,4,2,2
1261,6,5,4,3
1262,3,4,2,2
1263,3,4,2,1
1264,4,3,2,1
1265,1,1,1,1
1266,3,2,2,1
1267,3,4,2,2
1268,3,3,2,2
1269,2,3,2,2
1270,2,2,2,1
1271,2,1,1,1
1272,1,2,1,1
1273,2,3,1,1
1274,2,4,2,1
1275,1,2,1,1
1276,3,2,1,1
1277,1,1,1,1
1278,3,3,2,2
1279,2,3,2,1
1280,4,3,2,4
1281,3,3,2,2
1282,5,5,4,4
1283,3,2,2,1
1284,4,4,3,2
1285,2,3,2,1
1286,3,2,2,1
1287,4,3,2,2
1288,2,2,1,1
1289,3,2,2,1
1290,3,2,2,1
1291,2,2,2,1
1292,3,2,2,1
1293,1,1,1,1
1294,3,3,2,1
1295,5,4,3,2
1296,3,2,1,2
1297,1,1,1,1
1298,3,2,2,1
1299,5,3,2,2
1300,5,4,3,3
1301,4,4,3,2
1302,4,3,2,2
1303,4,3,3,2
1304,5,6,3,2
1305,3,2,1,1
1306,1,1,1,1
1307,4,3,2,2
1308,4,3,2,2
1309,1,1,1,1
1310,1,2,1,1
1311,3,3,2,2
1312,2,3,2,1
1313,2,2,2,1
1314,3,4,3,2
1315,2,2,1,1
1316,4,3,2,2
1317,3,2,2,2
1318,5,6,4,3
1319,3,2,2,1
1320,4,3,2,1
1321,6,5,3,2
1322,2,2,1,1
1323,2,3,2,1
1324,1,2,1,1
1325,4,2,1,1
1326,2,2,1,1
1327,6,5,4,3
1328,5,4,3,2
1329,4,4,3,3
1330,2,2,1,1
1331,3,2,1,1
1332,5,5,3,2
1333,1,2,1,1
1334,3,2,2,1
1335,2,3,2,1
1336,2,2,1,1
1337,4,3,2,2
1338,1,2,1,1
1339,4,3,2,1
1340,4,4,4,3
1341,3,2,2,1
1342,3,2,2,1
1343,3,3,2,2
1344,3,2,1,2
1345,1,1,1,1
1346,2,3,2,1
1347,2,3,3,2
1348,3,2,2,2
1349,5,5,4,4
1350,2,3,2,1
1351,4,5,3,2
1352,5,5,4,3
1353,4,3,2,2
1354,3,3,2,1
1355,3,3,2,2
1356,2,3,2,1
1357,3,3,2,2
1358,2,2,1,1
1359,3,2,2,2
