,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
104,5,5,5,6,3,3,4,4,4,4
105,5,6,5,6,5,5,4,4,5,5
106,5,6,5,6,4,4,5,5,4,4
107,6,6,5,6,5,5,4,4,5,5
108,5,6,6,7,4,5,5,4,5,4
109,5,6,4,7,3,4,5,5,4,4
110,6,6,5,7,5,5,4,4,5,5
111,5,6,5,6,4,4,5,4,5,4
112,5,6,5,7,4,5,5,5,5,4
113,5,6,4,6,3,4,4,4,5,5
114,6,5,6,7,3,3,5,5,4,4
115,6,5,5,6,3,4,5,4,4,5
116,5,6,5,6,4,4,3,4,4,3
117,5,6,5,6,3,3,4,4,5,4
118,6,5,5,7,4,3,5,4,4,5
119,5,6,6,7,5,5,4,4,4,5
120,5,5,4,6,5,5,4,4,4,4
121,6,6,5,6,5,5,4,4,5,5
122,5,6,5,6,4,4,3,4,3,4
123,5,6,5,7,3,4,5,4,5,4
124,6,6,5,7,5,5,5,5,4,5
125,5,5,4,6,4,4,4,4,5,3
126,5,5,5,6,4,4,3,4,4,3
127,6,6,5,7,5,5,5,5,5,6
128,5,5,4,6,4,4,5,4,5,4
129,5,6,5,7,4,4,4,4,5,5
130,4,5,5,6,3,3,4,3,4,3
131,5,5,5,6,3,3,4,4,4,4
132,6,6,5,6,5,5,4,4,5,5
133,5,5,4,6,3,4,4,4,5,5
134,5,5,4,6,5,5,4,4,4,4
135,5,5,4,6,5,4,4,4,4,5
136,5,5,4,6,4,4,4,4,4,4
137,5,6,5,6,5,5,4,4,4,4
138,6,5,5,6,4,4,5,4,5,4
139,6,6,6,7,4,4,5,5,6,5
140,6,6,5,6,5,5,5,5,5,4
141,5,6,5,6,4,4,5,5,5,4
142,6,6,5,7,5,4,5,5,4,5
143,5,6,5,6,4,4,4,4,5,4
144,5,5,4,6,5,5,4,4,4,3
145,5,4,4,6,3,3,3,3,4,4
146,5,6,5,6,4,4,5,5,5,5
147,5,6,5,6,5,5,4,4,5,5
148,5,5,4,6,3,4,3,4,3,3
149,5,5,4,6,3,4,4,4,3,4
150,5,6,5,6,4,4,5,4,5,4
151,5,6,5,6,4,4,5,5,4,5
152,5,6,5,6,4,5,5,5,6,5
153,5,5,4,6,3,4,4,4,4,5
154,5,4,4,6,3,3,4,4,3,4
155,5,6,5,6,4,5,4,5,4,5
156,4,5,4,5,3,3,4,4,4,3
157,6,6,5,7,3,3,5,4,5,4
158,5,6,5,6,4,4,5,5,4,4
159,6,6,5,7,5,5,5,6,5,6
160,6,5,5,6,4,4,5,5,5,5
161,6,6,5,7,4,4,5,5,6,5
162,5,6,6,7,4,5,5,5,4,4
163,6,6,5,7,5,5,5,5,6,6
164,5,4,4,6,3,3,3,4,4,5
165,4,5,4,6,3,3,3,3,4,4
166,5,5,4,6,3,3,4,4,4,4
167,6,5,5,6,5,5,4,4,4,4
168,5,5,4,6,4,4,3,3,4,4
169,5,6,4,6,5,5,4,4,3,4
170,5,6,5,6,4,5,4,4,4,4
171,5,6,5,6,4,5,4,5,4,4
172,5,6,5,6,3,3,4,4,5,4
173,5,5,4,6,4,4,4,4,5,5
174,5,6,5,7,3,3,4,4,5,5
175,5,6,6,7,3,3,5,4,5,5
176,5,6,5,6,4,5,5,5,4,5
177,5,5,4,6,4,4,3,3,4,4
178,5,5,4,6,4,5,4,4,4,4
179,5,5,4,6,3,3,5,4,4,4
180,5,6,5,6,4,4,5,5,5,4
181,5,5,4,6,3,3,4,4,4,3
182,6,5,5,6,5,4,4,5,4,4
183,6,5,5,7,4,4,5,5,4,5
184,5,5,4,6,3,4,4,4,3,4
185,6,6,5,7,5,5,5,5,4,4
186,5,6,5,6,4,4,5,5,4,5
187,5,5,4,6,4,4,5,5,4,5
188,5,5,4,6,3,3,4,4,4,5
189,5,5,4,6,4,5,4,4,4,4
190,5,6,5,6,4,4,5,5,6,5
191,5,5,4,6,4,4,4,4,4,4
192,5,5,4,6,4,4,4,4,3,4
193,6,5,5,6,4,4,5,4,5,5
194,5,5,5,6,4,4,4,4,4,4
195,6,6,5,7,4,5,4,5,5,5
196,5,6,5,6,4,4,5,5,5,4
197,5,6,5,6,5,5,4,4,5,4
198,5,6,5,6,3,3,4,4,6,5
199,6,6,5,6,5,5,4,4,5,5
200,5,6,5,6,3,4,5,6,5,5
201,5,5,4,6,4,4,4,4,3,4
202,5,6,5,6,4,4,4,5,4,5
203,5,6,5,6,4,5,5,5,4,4
204,5,6,5,7,3,4,6,5,5,5
205,5,5,4,6,4,4,4,5,4,4
206,5,6,5,6,5,5,4,5,4,4
207,6,6,5,7,4,4,5,5,5,5
208,5,6,5,6,4,4,5,5,5,5
209,5,6,6,6,5,5,4,4,4,4
210,5,5,4,6,5,5,4,4,3,4
211,5,5,5,6,3,3,4,4,4,4
212,6,5,5,7,3,3,4,4,5,4
213,5,5,4,6,3,3,4,4,4,4
214,6,6,5,7,5,6,5,5,5,6
215,5,5,4,6,4,4,4,4,3,3
216,5,5,4,6,4,4,4,3,4,3
217,6,6,5,6,5,5,5,5,5,5
218,6,5,5,7,4,4,5,5,5,5
219,5,6,4,6,3,4,5,4,4,4
220,5,5,5,6,4,4,4,4,5,5
221,6,5,5,7,4,4,5,5,4,4
222,5,6,5,6,4,5,5,5,4,5
223,5,6,5,6,4,5,6,5,4,5
224,5,6,5,7,3,4,5,4,5,4
225,5,6,4,6,5,5,4,4,5,5
226,4,5,5,6,3,3,4,3,3,4
227,5,6,5,6,4,4,5,5,4,4
228,5,4,4,5,3,4,4,3,4,3
229,6,5,5,6,5,4,5,5,4,5
230,5,5,5,6,3,3,4,4,4,4
231,5,6,5,6,3,3,4,4,5,5
232,5,6,5,6,4,5,4,4,5,5
233,5,6,5,7,4,4,5,4,5,5
234,5,5,5,6,5,4,4,4,4,4
235,5,5,5,6,4,4,4,4,5,4
236,5,6,5,6,4,5,4,5,6,5
237,5,6,5,6,4,4,5,4,4,5
238,5,5,4,6,3,3,4,4,5,4
239,5,5,4,6,3,3,4,4,4,4
240,5,6,5,6,4,5,4,4,5,4
241,5,5,4,6,4,4,3,3,4,3
242,5,5,4,6,4,5,4,4,3,4
243,5,4,5,6,4,5,4,3,4,3
244,6,6,5,7,4,4,5,5,5,4
245,5,6,5,6,3,4,5,5,4,5
246,5,5,4,6,3,4,5,5,4,5
247,4,5,4,5,3,3,3,3,4,4
248,5,6,4,6,5,5,4,4,5,4
249,6,6,5,7,5,4,5,4,5,5
250,5,6,5,6,4,4,5,5,5,5
251,5,5,4,6,5,5,4,4,3,4
252,5,5,4,6,3,3,4,4,3,4
253,5,5,5,6,4,4,4,4,5,5
254,5,4,3,6,3,3,4,4,3,4
255,6,5,5,7,4,5,6,5,5,4
256,5,6,5,7,3,4,5,5,6,4
257,5,6,5,6,3,4,4,3,4,4
258,5,5,4,6,5,5,4,4,4,4
259,5,5,4,6,4,4,3,3,3,4
260,5,6,6,7,5,5,5,5,4,4
261,5,6,6,7,5,5,4,4,5,4
262,5,6,5,7,4,4,3,4,4,4
263,5,6,5,6,4,4,5,5,4,5
264,5,6,5,6,4,5,5,5,5,4
265,5,6,4,6,4,4,5,4,4,5
266,5,4,3,6,4,3,4,3,4,4
267,5,6,5,6,5,5,4,4,5,5
268,5,5,5,6,4,4,4,5,4,4
269,6,6,5,7,5,5,5,5,4,4
270,5,6,5,6,4,4,5,5,4,4
271,5,5,4,6,3,3,4,4,4,4
272,6,5,5,6,4,4,5,5,5,5
273,5,4,4,5,3,3,4,3,4,3
274,5,6,5,6,4,4,4,4,3,4
275,5,5,4,7,3,4,4,5,4,5
276,5,4,4,6,3,3,4,4,3,4
277,5,4,4,6,3,3,4,3,4,4
278,6,6,5,7,4,4,5,5,5,6
279,5,5,5,6,3,3,4,4,4,4
280,6,6,5,7,5,5,4,4,5,5
281,6,6,5,7,3,4,5,5,6,6
282,5,5,4,6,4,4,3,3,4,3
283,6,6,5,7,5,4,5,5,4,5
284,5,6,5,6,4,4,5,5,4,5
285,5,6,5,6,4,5,5,5,4,5
286,5,5,5,6,4,4,4,4,4,4
287,5,5,5,6,3,3,5,4,4,4
288,5,6,5,6,5,5,5,5,5,4
289,6,6,5,6,5,5,5,5,4,4
290,5,6,5,6,4,5,4,4,5,5
291,4,5,5,6,3,3,4,4,4,3
292,5,6,5,6,5,4,4,5,5,5
293,6,6,5,7,3,4,5,5,5,4
294,5,6,5,6,4,4,5,5,5,5
295,5,5,4,6,5,5,4,4,4,3
296,5,5,4,6,4,4,3,3,4,4
297,5,5,4,6,4,4,4,3,4,4
298,6,5,5,6,4,4,5,4,4,5
299,5,5,4,6,4,4,3,3,3,3
300,5,4,4,6,4,3,4,4,3,4
301,6,6,5,7,6,5,5,5,4,4
302,5,5,4,6,3,3,5,5,4,4
303,6,6,5,6,5,5,4,5,5,5
304,5,6,5,6,5,6,4,4,4,5
305,6,6,5,6,5,5,5,5,5,5
306,5,6,5,6,3,3,4,4,4,5
307,5,5,4,6,3,4,3,4,3,4
308,5,6,6,7,4,3,5,4,5,5
309,5,6,5,6,4,4,5,5,4,5
310,5,6,5,7,3,4,5,4,5,4
311,6,5,5,6,4,4,5,5,5,6
312,5,5,4,6,4,3,3,3,2,3
313,6,6,5,7,5,6,5,5,4,5
314,5,5,4,6,4,4,5,5,4,4
315,5,6,5,6,5,6,4,4,5,5
316,5,6,5,6,4,4,5,5,4,4
317,5,5,5,6,4,4,4,4,4,4
318,5,6,5,7,4,5,4,4,5,5
319,5,5,4,6,4,4,4,4,4,4
320,5,5,6,6,3,4,4,4,5,5
321,5,5,4,6,3,4,4,4,5,4
322,5,5,4,6,5,4,4,4,3,3
323,6,5,5,7,4,4,5,5,4,4
324,5,5,4,6,4,4,3,3,4,4
325,6,5,5,6,4,4,5,5,4,5
326,5,5,4,6,3,4,3,3,4,3
327,6,7,6,7,5,6,6,6,5,6
328,5,5,4,5,3,4,4,4,3,4
329,5,6,5,6,5,5,4,4,5,5
330,5,6,5,7,3,4,4,3,5,4
331,5,5,4,6,4,4,4,3,4,3
332,5,5,4,6,5,5,4,4,4,3
333,5,5,5,6,4,5,4,4,5,4
334,6,5,5,7,6,5,4,4,5,4
335,5,5,5,6,3,3,4,4,4,4
336,6,5,5,6,3,4,5,4,4,4
337,6,6,5,7,5,5,4,5,4,5
338,5,5,4,6,3,3,4,4,3,4
339,6,6,5,7,5,5,4,5,6,5
340,5,6,5,7,3,4,5,4,5,4
341,5,6,5,6,3,3,5,5,4,4
342,6,5,5,6,4,4,5,4,4,4
343,6,6,5,7,3,4,5,4,6,5
344,5,6,5,6,4,4,5,4,5,4
345,5,5,6,6,4,4,5,4,5,4
346,6,6,5,7,3,4,5,5,5,4
347,5,6,5,6,4,5,5,5,5,5
348,5,6,6,6,3,3,5,5,4,4
349,5,5,4,6,4,5,4,4,3,4
350,5,6,5,6,3,3,5,4,5,4
351,5,5,4,6,3,3,4,4,4,4
352,5,6,5,6,4,4,5,4,5,4
353,6,5,5,6,4,4,5,4,5,4
354,5,6,6,6,5,5,4,5,4,5
355,6,6,5,7,3,4,5,4,5,4
356,5,4,4,6,3,3,3,3,3,4
357,5,5,4,6,4,4,4,4,4,5
358,6,6,5,7,4,4,5,5,6,5
359,4,5,3,5,2,3,4,4,3,3
360,5,6,5,6,3,3,4,4,5,4
361,5,6,5,6,4,5,5,4,4,4
362,6,6,5,7,5,5,4,4,5,4
363,5,5,4,6,3,3,4,4,5,4
364,5,5,4,6,3,3,4,4,4,4
365,6,5,5,6,4,5,5,5,4,5
366,6,6,5,7,5,5,4,5,5,5
367,5,5,4,6,5,4,4,5,4,5
368,5,6,5,7,4,4,5,5,4,5
369,5,6,5,6,4,3,4,4,5,5
370,5,6,4,6,5,4,4,5,4,4
371,5,6,5,6,3,3,4,4,5,4
372,6,6,5,7,4,4,5,5,6,5
373,5,6,5,6,4,4,5,5,4,4
374,4,4,4,5,3,3,3,3,3,3
375,5,6,5,6,5,5,4,4,5,4
376,6,5,5,6,3,3,4,4,5,4
377,5,5,4,6,4,4,3,3,4,4
378,5,5,4,6,4,4,3,3,4,4
379,5,5,4,6,3,3,4,4,4,4
380,6,5,5,6,5,5,4,4,4,5
381,6,5,5,7,3,4,4,3,4,3
382,6,6,5,6,5,5,5,5,4,4
383,5,6,5,6,4,4,5,5,5,4
384,5,6,5,7,3,4,5,4,5,4
385,5,6,5,6,5,4,4,4,4,3
386,5,6,5,6,4,4,5,4,5,4
387,5,5,5,6,4,4,4,4,4,5
388,6,5,6,7,3,3,5,4,5,4
389,5,5,4,6,4,5,4,4,5,5
390,5,6,5,6,4,4,5,5,4,4
391,5,5,4,6,3,3,4,4,5,5
392,5,5,4,6,4,4,3,3,3,4
393,5,6,6,7,3,3,4,4,5,5
394,5,5,5,6,4,4,3,3,4,4
395,5,6,5,6,5,5,4,4,4,4
396,5,5,4,6,4,4,4,4,3,4
397,5,4,4,6,3,3,4,4,4,4
398,3,2,3,4,2,2,3,3,2,3
399,5,6,5,7,4,4,5,5,4,5
400,6,6,5,7,4,4,5,5,5,4
401,6,6,5,7,4,3,5,5,5,4
402,5,6,5,7,4,4,3,3,4,4
403,5,6,5,6,4,4,4,5,4,4
404,5,6,5,6,4,5,4,5,4,5
405,5,5,4,6,3,4,3,4,4,4
406,5,5,4,6,3,3,4,4,3,4
407,5,5,4,6,3,3,4,3,4,4
408,6,6,5,6,5,5,5,5,4,5
409,5,4,3,4,3,3,4,4,3,3
410,5,6,5,6,4,4,3,4,3,4
411,6,5,5,7,3,4,5,4,5,4
412,5,5,4,6,4,4,4,4,4,4
413,6,5,5,7,2,3,4,4,5,6
414,6,5,5,6,4,4,5,5,4,5
415,6,6,5,7,4,4,6,5,5,6
416,5,5,5,6,3,4,4,4,3,4
417,5,5,4,6,5,4,3,4,3,4
418,5,6,6,6,3,4,4,5,4,4
419,6,6,5,6,5,5,5,5,4,5
420,5,6,4,6,3,4,3,3,3,4
421,5,5,4,6,5,5,4,4,4,4
422,5,5,4,6,4,4,4,4,3,3
423,5,5,4,6,4,4,5,5,5,5
424,4,3,3,4,2,3,3,3,3,4
425,5,5,6,7,3,4,5,4,5,4
426,5,6,5,7,3,3,5,4,5,5
427,5,5,6,6,3,3,4,4,4,4
428,6,5,6,6,3,4,5,5,5,4
429,5,5,4,6,5,4,4,3,4,4
430,6,6,5,7,6,5,5,5,5,5
431,6,5,5,7,3,3,5,4,4,3
432,5,5,4,6,3,3,4,4,5,4
433,6,5,5,6,4,4,5,5,4,5
434,5,5,6,7,3,3,4,4,5,5
435,5,5,4,6,4,4,3,4,3,4
436,6,6,5,7,3,4,5,5,5,4
437,5,5,5,6,4,4,4,4,4,4
438,6,6,5,7,5,5,5,5,5,5
439,5,5,5,6,5,5,4,4,5,5
440,5,5,4,6,4,3,4,4,4,4
441,6,6,5,7,5,5,6,5,5,5
442,6,6,5,7,5,5,4,4,4,5
443,5,6,6,7,4,5,4,4,5,4
444,6,5,4,6,5,4,4,4,3,4
445,6,5,5,6,5,5,4,4,4,4
446,5,6,5,6,4,4,5,5,4,5
447,6,6,5,6,4,5,5,5,4,5
448,5,5,4,6,3,4,3,3,3,4
449,5,6,5,6,4,5,5,5,4,4
450,6,6,5,7,3,3,5,5,4,5
451,5,5,4,6,4,4,3,4,4,3
452,6,5,5,6,4,5,5,6,5,5
453,6,6,5,7,5,4,5,5,4,4
454,5,6,5,7,3,4,4,5,3,4
455,4,5,4,6,3,3,4,4,3,4
456,5,5,4,6,3,3,4,4,3,3
457,6,5,5,6,5,5,4,4,4,4
458,6,6,5,7,4,4,5,5,6,5
459,6,6,5,7,5,5,6,6,5,6
460,5,5,4,6,4,4,3,3,4,4
461,5,5,5,6,3,4,4,4,3,3
462,5,5,4,6,4,4,4,4,3,4
463,6,6,5,7,5,5,5,5,5,4
464,5,5,4,6,4,4,3,4,4,4
465,5,5,6,6,3,3,4,4,5,5
466,5,6,5,7,4,5,4,5,4,4
467,6,5,6,7,5,5,4,5,5,6
468,5,5,4,6,4,4,4,4,3,3
469,5,5,5,6,4,4,4,4,4,4
470,5,6,4,5,4,5,4,5,4,3
471,5,6,5,6,3,4,4,3,5,4
472,5,6,5,6,4,4,5,5,5,4
473,5,5,4,6,4,4,3,3,4,4
474,6,6,5,6,5,5,5,5,5,5
475,5,5,4,6,3,3,4,4,5,4
476,6,5,5,7,4,5,4,4,5,5
477,5,6,5,6,4,4,5,4,5,4
478,5,5,4,6,5,5,4,4,4,4
479,6,5,5,6,4,4,5,5,4,4
480,4,4,3,5,3,4,3,3,3,3
481,6,5,6,7,4,4,5,5,6,5
482,5,4,3,6,4,3,3,3,4,4
483,5,5,4,6,4,4,5,5,4,5
484,5,5,4,6,3,4,4,3,3,4
485,6,5,5,6,3,3,4,4,5,4
486,5,5,4,6,4,3,4,4,3,4
487,6,5,5,7,3,4,5,5,4,5
488,5,5,4,6,3,3,4,3,4,4
489,5,5,5,6,5,5,4,4,4,4
490,5,4,4,6,3,3,4,4,3,4
491,5,5,4,6,3,3,4,4,4,5
492,6,5,5,7,4,4,5,5,5,4
493,5,6,5,6,4,4,5,5,4,5
494,5,6,5,6,4,3,5,4,5,4
495,5,5,4,6,5,5,4,4,4,4
496,5,5,5,6,4,4,4,4,3,3
497,5,4,4,5,3,3,4,4,3,4
498,5,5,5,6,4,4,4,4,5,5
499,5,6,5,6,4,5,4,5,4,5
500,6,6,5,6,5,5,5,5,4,5
501,5,5,4,6,3,4,4,4,5,4
502,6,6,5,7,3,4,5,5,6,5
503,5,6,5,6,3,4,5,4,4,5
504,5,5,6,6,3,3,4,4,5,4
505,6,7,6,7,5,5,6,6,5,5
506,5,5,4,6,4,5,4,4,4,4
507,5,6,5,6,4,4,5,5,4,5
508,6,6,5,6,5,5,4,5,4,5
509,5,6,4,6,3,3,4,4,5,4
510,5,5,4,6,3,3,4,4,3,4
511,5,4,4,6,3,4,3,3,3,3
512,5,5,4,6,3,3,4,4,4,5
513,5,6,6,6,5,5,4,4,4,5
514,5,6,6,7,5,4,5,5,4,5
515,5,6,5,6,3,3,4,4,4,3
516,6,5,5,7,4,4,5,5,5,6
517,5,5,4,6,3,4,4,4,3,3
518,5,4,4,6,3,3,4,4,3,4
519,6,5,5,6,4,4,5,5,4,4
520,5,6,5,6,4,4,5,5,4,5
521,5,6,5,7,3,3,4,4,5,5
522,5,6,5,6,4,4,4,5,4,4
523,5,5,4,6,5,5,4,4,4,4
524,5,6,5,6,3,4,4,4,5,5
525,5,5,4,6,4,3,4,4,3,3
526,5,4,4,6,4,5,3,3,4,4
527,5,6,5,6,3,2,4,4,5,4
528,6,6,5,7,4,4,5,5,4,4
529,5,5,4,6,3,3,4,4,3,3
530,6,6,5,7,4,5,5,5,4,4
531,5,5,4,6,3,3,4,4,3,3
532,5,6,5,6,3,4,5,5,4,4
533,5,5,4,6,4,5,4,5,4,5
534,4,5,4,6,3,3,5,4,4,5
535,5,6,5,6,4,5,4,5,4,5
536,5,5,4,6,3,3,4,4,5,4
537,5,5,5,6,4,4,3,4,4,4
538,6,5,5,7,4,5,5,5,4,5
539,5,5,4,6,3,3,4,4,5,4
540,6,5,5,6,4,5,5,5,4,4
541,6,5,5,6,5,5,4,4,5,5
542,5,5,4,6,3,4,4,4,5,4
543,5,5,4,6,5,5,4,4,4,4
544,5,6,5,6,5,5,4,4,4,4
545,5,6,5,6,3,4,5,5,5,5
546,5,5,4,6,4,4,3,3,4,4
547,5,6,5,7,3,3,4,4,5,4
548,5,5,6,6,4,3,4,4,5,4
549,5,5,4,6,4,4,3,3,4,4
550,6,6,5,7,5,5,4,4,5,4
551,4,5,4,6,2,3,4,4,5,4
552,4,5,3,6,4,3,3,4,3,3
553,5,5,4,6,4,4,4,4,3,3
554,5,6,5,6,4,4,5,4,4,4
555,5,5,4,6,3,3,4,4,4,4
556,6,5,5,6,4,4,4,4,5,5
557,5,5,4,6,3,3,4,4,4,4
558,5,6,5,7,4,3,6,5,4,5
559,5,5,4,6,4,4,4,4,4,4
560,5,5,4,6,3,4,3,3,4,3
561,5,5,4,6,4,4,3,3,4,3
562,5,5,4,6,3,4,5,4,4,3
563,5,6,5,6,4,4,5,4,5,5
564,5,6,5,6,4,4,5,5,4,5
565,5,6,5,7,4,4,5,5,5,5
566,6,5,4,7,6,5,5,5,4,4
567,6,5,5,7,4,4,5,5,4,5
568,5,6,5,7,3,3,5,5,6,5
569,5,6,5,6,4,5,4,5,4,5
570,6,6,5,7,5,6,5,5,4,4
571,5,5,4,6,4,4,3,3,4,4
572,6,5,6,7,3,4,5,5,6,6
573,5,5,6,6,3,4,5,4,4,4
574,5,5,4,6,4,3,5,5,4,4
575,5,5,5,6,4,4,4,4,5,5
576,5,6,5,6,6,5,5,5,4,5
577,3,3,3,5,2,3,3,3,3,4
578,5,5,5,6,4,4,4,4,4,4
579,5,5,4,6,3,3,4,4,4,4
580,5,4,4,5,3,3,4,4,3,4
581,6,6,5,7,5,6,5,5,4,4
582,5,5,4,6,5,5,4,4,4,4
583,5,6,5,7,3,3,5,4,4,5
584,5,6,5,6,4,5,5,4,5,4
585,5,5,4,6,5,5,4,5,4,5
586,5,5,4,6,3,3,4,4,5,4
587,3,4,3,4,2,3,3,3,3,2
588,5,5,6,6,3,3,4,4,5,4
589,5,6,5,6,5,5,4,5,4,5
590,5,5,6,7,4,5,4,4,5,4
591,5,6,6,7,3,4,5,5,4,4
592,5,5,4,6,3,4,4,3,4,5
593,5,5,6,6,5,6,5,5,4,5
594,5,5,4,6,5,4,5,5,5,5
595,5,6,5,6,4,4,5,5,4,5
596,5,5,4,6,3,3,4,4,4,4
597,5,6,5,6,4,4,5,4,5,6
598,6,6,5,7,4,3,5,5,4,4
599,4,3,3,4,2,3,3,3,3,3
600,5,5,4,6,3,3,4,4,4,4
601,6,6,5,7,5,5,6,5,5,5
602,5,5,4,6,4,4,3,3,4,3
603,5,6,5,6,4,5,4,4,5,4
604,5,6,5,6,3,3,4,4,5,4
605,5,5,5,6,3,3,4,4,5,5
606,5,5,4,6,3,4,4,4,3,3
607,5,4,3,6,4,4,4,3,3,3
608,5,6,5,6,3,4,4,4,5,4
609,6,5,5,7,6,6,5,5,5,4
610,5,6,5,6,3,4,4,4,5,5
611,5,4,4,5,3,3,4,3,3,4
612,4,3,4,5,3,3,3,3,3,3
613,6,5,5,6,5,5,4,5,4,5
614,5,5,5,6,3,3,4,4,4,4
615,5,6,6,7,4,5,6,5,5,5
616,5,6,5,6,4,5,4,4,4,5
617,6,5,5,6,5,5,4,4,4,4
618,5,4,4,6,4,5,3,4,3,4
619,5,6,5,7,3,3,4,4,5,4
620,5,5,4,6,5,5,4,4,3,4
621,5,5,4,6,4,3,3,3,3,4
622,5,5,4,6,3,3,4,4,4,3
623,6,5,6,7,4,4,5,5,5,6
624,5,6,4,6,3,4,5,5,4,4
625,5,6,5,6,4,4,5,5,4,5
626,6,6,5,7,5,5,4,4,5,5
627,5,6,5,7,3,4,5,5,4,4
628,6,6,5,6,5,5,5,5,4,5
629,5,5,5,6,4,4,4,5,4,4
630,6,6,5,7,5,5,5,5,5,5
631,5,6,5,6,4,5,4,4,5,5
