,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
57,6,6,6,7,5,5,5,5,5,5
58,4,4,4,6,3,3,4,4,3,4
59,6,6,5,7,5,5,5,5,6,6
60,6,7,6,7,5,5,6,6,5,6
61,6,6,5,7,5,5,5,5,6,6
62,6,6,5,6,5,5,4,4,5,5
63,4,5,5,6,4,4,3,4,4,5
64,6,6,5,6,5,5,5,5,5,5
65,6,6,5,7,5,5,5,5,4,5
66,5,5,4,6,4,5,3,4,3,4
67,5,5,5,6,4,4,4,4,5,4
68,5,5,5,6,5,5,4,4,5,5
69,5,6,5,7,5,6,5,6,5,6
70,7,7,7,7,6,6,6,6,6,6
71,4,3,2,4,3,3,2,3,2,2
72,6,6,6,7,5,5,5,5,6,6
73,6,7,6,7,5,5,5,6,6,6
74,7,7,7,7,7,7,7,7,7,7
75,5,5,5,6,4,4,4,4,4,5
76,7,7,7,7,6,6,5,6,6,6
77,4,4,4,4,4,4,4,4,4,4
78,6,7,6,7,6,6,5,5,6,6
79,5,6,5,6,4,4,5,4,5,5
80,6,6,5,6,5,5,5,5,6,5
81,5,6,5,6,5,5,4,4,5,4
82,7,7,7,7,7,7,7,7,7,7
83,7,7,6,7,6,6,7,7,6,7
84,7,7,7,7,6,6,7,6,6,7
85,6,6,5,7,6,5,4,4,5,4
86,5,5,4,6,5,5,4,4,5,4
87,6,6,5,7,6,6,5,5,5,6
88,4,4,4,5,4,4,4,4,4,4
89,6,6,6,7,6,6,5,6,5,6
90,6,6,6,7,5,5,5,5,6,6
91,7,7,6,7,6,6,5,6,5,6
92,6,6,5,7,5,5,5,5,6,6
93,6,6,6,6,5,5,4,5,5,6
94,7,7,7,7,7,7,7,7,7,7
95,7,7,7,7,6,6,5,5,6,6
96,7,7,7,7,7,7,7,7,7,7
97,3,4,3,5,4,3,2,3,3,4
98,4,5,4,6,4,4,3,4,4,4
99,6,6,5,6,5,5,4,4,5,5
100,5,5,4,6,5,5,4,4,4,5
101,7,7,6,7,6,6,5,6,7,6
102,7,7,7,7,6,6,6,6,6,6
103,4,4,4,4,3,3,3,3,4,3
104,4,4,4,5,4,3,4,4,4,4
105,4,4,3,4,4,3,3,3,3,4
106,5,6,5,6,5,5,4,4,5,5
107,4,4,4,5,4,5,3,4,3,4
108,5,5,5,6,4,4,4,4,4,5
109,4,4,4,5,4,4,4,4,4,4
110,5,5,4,6,5,5,4,4,4,5
111,7,7,7,7,6,6,6,7,6,7
112,4,5,4,6,4,4,3,4,4,5
113,5,5,5,6,4,4,5,4,4,5
114,7,7,7,7,6,6,7,7,6,7
115,6,7,6,7,5,5,5,5,6,6
116,4,4,4,5,4,4,4,4,4,4
117,6,7,6,7,6,6,5,6,5,6
118,7,7,7,7,6,6,6,6,5,6
119,6,6,5,7,6,6,5,5,6,6
120,5,5,5,6,5,5,4,4,4,5
121,7,7,7,7,6,6,6,7,6,7
122,5,6,6,6,5,5,5,5,5,5
123,7,7,7,7,6,6,5,6,6,6
124,6,6,5,7,5,5,4,4,5,5
125,6,6,5,7,5,5,6,5,4,5
126,4,4,3,5,3,3,4,3,3,4
127,6,5,6,7,5,5,4,4,5,5
128,5,5,5,6,4,4,4,4,5,4
129,6,6,5,7,5,5,5,5,6,5
130,6,7,6,7,6,5,6,7,6,7
131,4,4,4,4,4,4,3,3,4,4
132,6,6,6,7,6,6,5,5,6,5
133,7,7,7,7,6,6,7,7,7,7
134,5,5,5,6,5,4,4,4,5,5
135,4,4,3,5,3,2,3,3,4,3
136,6,6,6,6,5,5,5,5,6,6
137,6,6,7,6,5,5,5,5,6,6
138,5,5,5,6,5,5,4,4,4,4
139,7,7,7,7,6,6,6,6,7,7
140,6,6,5,7,6,6,5,5,5,6
141,5,6,5,7,5,5,5,5,5,6
142,7,7,6,7,6,6,5,5,6,7
143,4,5,4,6,4,4,3,4,4,4
144,5,5,4,6,4,4,4,4,5,5
145,7,7,7,7,6,6,6,6,6,6
146,6,7,6,7,6,6,5,5,5,6
147,6,6,5,7,5,6,5,5,5,5
148,6,6,5,7,5,5,4,4,5,5
149,6,6,6,7,5,5,5,5,5,6
150,4,4,4,5,4,4,4,4,4,4
151,6,7,7,6,5,5,5,5,6,6
152,7,7,7,7,7,7,7,7,7,7
153,6,6,7,7,6,6,5,6,5,6
154,6,6,6,7,5,5,5,5,5,5
155,6,6,6,7,6,6,6,6,6,6
156,6,6,6,7,5,5,5,5,6,6
157,3,4,3,6,3,3,3,4,3,4
158,5,6,5,6,5,4,4,5,4,5
159,6,6,5,7,3,4,4,4,5,5
160,6,6,6,7,5,5,5,5,5,6
161,6,6,5,7,5,5,5,6,5,6
162,3,3,2,3,2,2,1,2,2,3
163,5,5,5,6,5,5,4,4,4,4
164,6,6,5,7,5,5,5,5,5,6
165,7,7,7,7,7,7,7,7,7,7
166,5,5,4,6,3,3,5,5,4,5
167,7,7,7,7,6,6,6,6,7,7
168,6,6,5,6,5,5,4,4,5,5
169,6,7,6,7,5,5,5,5,6,6
170,6,7,6,6,5,5,4,4,5,5
171,6,6,6,7,6,6,5,6,5,6
172,5,5,5,7,4,4,5,4,5,5
173,4,4,4,6,4,4,4,4,4,4
174,6,6,5,7,5,5,5,5,5,6
175,6,6,7,7,5,5,6,6,5,6
176,7,7,7,7,7,7,7,7,7,7
177,5,6,5,6,4,4,5,5,4,4
178,6,6,6,7,6,6,5,6,5,6
179,4,4,5,6,4,3,4,4,4,3
180,6,6,6,7,5,5,5,5,6,5
181,6,7,6,7,6,6,6,7,6,7
182,6,6,5,6,5,5,5,5,5,5
183,7,7,7,7,6,6,6,6,7,7
184,7,7,7,7,6,6,6,6,7,7
185,5,5,5,6,4,4,4,5,5,5
186,5,6,5,6,5,5,4,4,5,5
187,7,7,6,7,6,6,6,6,7,7
188,4,4,4,5,4,4,4,4,4,4
189,6,6,6,7,6,6,5,5,5,5
190,7,7,7,7,6,6,7,7,6,6
191,4,4,3,5,4,3,3,4,3,4
192,4,3,3,5,4,3,2,2,2,4
193,6,6,5,7,5,5,6,6,5,6
194,6,5,5,6,5,5,4,4,5,5
195,6,6,6,7,5,5,5,5,6,6
196,6,6,6,7,5,5,5,5,6,6
197,5,5,4,6,5,5,4,4,4,4
198,7,7,6,7,5,5,6,6,7,7
199,6,6,5,7,5,5,4,4,5,5
200,4,4,4,4,4,4,4,4,4,4
201,7,7,6,7,6,6,5,6,6,7
202,5,6,5,6,5,5,4,4,4,5
203,5,5,4,6,5,4,3,4,4,4
204,5,5,4,6,4,4,4,4,3,4
205,6,6,5,7,5,5,6,6,5,5
206,5,6,5,6,4,5,4,4,5,4
207,6,7,6,7,5,5,6,5,6,6
208,6,6,7,7,5,5,5,5,6,6
209,4,5,4,6,3,4,3,3,3,3
210,7,7,7,7,7,7,6,6,7,7
211,5,5,4,6,3,4,4,4,5,4
212,5,6,5,6,4,4,4,4,5,5
213,6,6,6,7,5,5,5,5,5,6
214,6,6,5,6,5,5,4,4,5,5
215,5,6,6,7,5,5,4,5,5,5
216,6,7,6,7,6,6,5,5,6,6
217,6,6,6,7,5,5,5,5,5,5
218,5,5,5,6,4,4,4,4,4,4
219,6,7,6,6,5,5,5,5,6,6
220,6,6,5,6,5,5,3,4,4,5
221,6,6,5,7,5,5,5,5,5,5
222,5,5,5,6,4,4,4,4,4,4
223,6,6,6,7,6,6,5,5,5,5
224,7,7,6,7,5,5,6,6,6,6
225,7,7,7,7,6,6,6,6,6,6
226,5,5,5,6,5,5,4,4,5,5
227,6,7,6,7,5,5,5,5,6,6
228,5,5,5,6,4,4,3,4,4,5
229,5,5,5,6,5,5,4,4,4,4
230,5,5,5,6,4,4,4,4,5,4
231,4,5,4,5,3,4,3,3,4,3
232,6,6,6,7,5,5,4,4,5,6
233,5,5,4,6,4,4,4,4,5,5
234,6,6,5,7,6,5,5,5,6,6
235,6,7,6,7,6,6,5,5,5,6
236,6,6,5,7,6,6,5,5,5,6
237,6,6,5,6,5,5,4,4,5,5
238,4,4,3,6,3,3,3,3,3,3
239,3,3,3,4,2,2,3,3,4,3
240,7,7,7,7,6,6,5,5,6,6
241,6,6,5,6,5,5,5,5,6,6
242,7,7,7,7,7,7,7,7,7,7
243,5,5,4,6,5,5,4,4,5,4
244,7,7,7,7,7,7,7,7,7,7
245,5,5,4,6,4,3,4,3,4,3
246,6,6,6,7,5,5,6,6,6,6
247,7,6,7,7,6,6,6,6,6,7
248,6,6,5,6,5,5,4,5,5,4
249,6,6,5,7,6,6,5,5,6,6
250,6,6,5,7,5,5,6,5,5,5
251,6,6,5,6,5,5,4,5,5,6
252,6,6,5,7,5,5,5,6,6,5
253,6,6,6,7,5,5,5,5,6,6
254,4,5,4,6,3,4,4,4,4,4
255,6,6,6,7,5,5,5,5,5,5
256,7,7,6,7,6,6,6,6,5,6
257,7,7,7,7,7,7,7,7,7,7
258,7,7,6,7,6,6,5,5,6,6
259,6,6,5,6,5,5,4,5,5,5
260,7,7,6,7,6,6,6,6,7,7
261,6,7,7,7,6,6,6,6,6,6
262,5,5,5,6,5,5,4,4,4,5
263,4,4,4,5,4,4,4,4,4,4
264,6,6,6,7,5,5,5,4,5,5
265,6,7,6,7,6,6,5,5,6,6
266,6,6,5,6,5,4,5,5,5,5
267,5,5,5,6,4,4,4,4,4,5
268,6,5,5,6,5,5,5,5,4,5
269,6,6,5,7,5,5,4,4,5,5
270,7,7,7,7,6,7,5,6,7,7
271,5,5,4,6,4,4,4,4,4,4
272,4,4,3,4,3,3,3,3,3,4
273,5,6,5,6,4,4,4,4,5,5
274,5,5,6,6,5,5,4,4,3,4
275,7,7,7,7,7,7,7,7,7,7
276,6,7,6,7,5,5,5,5,5,5
277,6,6,5,7,5,5,4,4,5,5
278,6,6,5,6,5,5,4,4,5,5
279,6,5,6,7,5,5,4,4,5,6
280,6,6,6,7,5,5,6,6,6,6
281,5,6,5,6,4,4,3,4,5,4
282,6,6,6,7,6,6,6,6,6,6
283,6,6,5,7,5,5,5,6,5,6
284,6,6,6,7,5,5,5,5,5,6
285,7,7,7,7,6,6,6,6,7,6
286,2,2,1,2,3,3,2,2,1,2
287,6,6,6,7,5,5,6,6,5,6
288,6,5,5,6,4,4,4,4,5,5
289,5,6,5,7,5,5,5,6,5,6
290,6,6,6,7,5,5,6,6,5,6
291,4,5,4,6,4,4,3,4,4,5
292,4,5,4,6,4,4,4,4,4,4
293,6,6,6,7,4,4,5,5,4,5
294,6,6,6,7,5,5,5,5,5,6
295,6,7,7,7,6,6,5,5,6,6
296,5,5,4,6,5,5,4,4,4,5
297,7,7,7,7,6,6,6,6,7,7
298,6,7,7,7,6,6,5,6,6,6
299,6,6,6,7,5,5,5,5,5,5
300,5,5,5,6,4,4,5,5,4,5
301,6,7,6,7,7,6,5,5,6,5
302,5,5,4,6,4,4,4,4,5,5
303,4,4,3,5,4,4,3,3,4,3
304,4,4,4,5,4,4,4,4,4,4
305,6,6,6,7,5,5,5,6,5,6
306,6,6,6,7,5,5,6,6,6,6
307,5,5,4,6,3,4,4,4,4,4
308,5,5,4,6,4,4,3,4,3,4
309,7,7,7,7,7,7,7,7,7,7
310,6,6,6,7,5,5,5,5,5,5
311,6,6,5,7,5,5,6,6,5,5
312,6,6,6,7,5,5,5,6,5,6
313,5,6,5,7,5,5,4,5,5,5
314,7,7,7,7,7,7,7,7,7,7
315,6,6,6,7,6,6,6,6,6,6
316,6,6,5,7,5,5,4,4,5,5
317,5,6,6,6,5,5,5,6,5,5
318,7,7,7,7,6,6,6,6,7,6
319,5,6,5,6,5,5,4,5,4,5
320,6,6,6,6,4,4,5,5,5,5
321,5,5,5,6,4,4,4,4,4,4
322,5,5,4,6,4,3,4,4,4,3
323,5,6,5,7,4,4,4,4,5,5
324,6,6,6,6,5,5,4,5,5,5
325,5,6,5,7,5,5,4,5,5,6
326,5,6,5,6,4,5,4,5,3,5
327,4,5,4,6,4,4,4,4,4,4
328,4,4,4,4,4,4,4,4,4,4
329,6,6,5,6,5,6,4,4,5,5
330,7,7,7,7,7,7,7,7,7,7
331,6,6,5,7,6,5,5,5,5,6
332,3,3,3,5,4,4,3,3,2,3
333,7,7,6,7,6,6,7,7,7,7
334,6,6,6,7,6,6,5,5,6,6
335,6,7,6,7,5,5,6,6,6,6
336,7,7,6,7,6,5,6,6,5,6
337,6,6,5,7,6,6,5,5,6,6
338,6,6,5,6,5,5,4,5,5,5
339,6,6,5,6,5,5,4,5,5,5
340,5,5,5,6,4,4,4,5,4,5
341,7,7,6,7,6,6,7,7,6,7
342,6,6,5,7,6,6,5,5,6,5
343,6,7,6,7,5,5,7,6,6,6
344,6,6,6,7,6,6,6,6,6,6
345,6,6,5,7,5,5,5,5,5,6
346,7,7,6,7,6,7,6,7,6,6
347,6,7,6,7,6,6,5,6,6,6
348,6,7,5,7,5,5,6,6,5,6
349,7,7,7,7,6,6,5,5,6,5
350,4,5,4,6,4,4,4,4,4,5
351,4,4,3,5,3,3,3,3,4,3
352,5,6,5,6,5,5,4,4,5,5
353,7,7,7,7,7,7,7,7,7,7
354,7,7,7,7,7,7,7,7,7,7
355,6,6,5,7,5,5,6,6,5,6
356,6,7,6,7,5,5,5,6,6,6
357,5,5,4,6,5,5,4,4,4,5
358,7,7,6,7,5,5,6,6,5,7
359,5,5,6,6,4,4,4,4,5,4
360,5,5,5,6,5,5,4,4,4,4
361,6,6,5,7,5,5,5,6,5,5
362,7,7,6,7,6,6,6,6,7,7
363,6,7,7,7,6,6,6,6,6,7
364,6,6,5,6,5,5,5,6,5,6
365,6,5,5,6,5,5,4,4,5,5
366,7,7,7,7,7,7,6,6,7,7
367,4,4,4,5,3,3,4,3,4,4
368,6,6,5,6,5,5,5,5,6,5
369,7,7,7,7,7,7,7,7,7,7
370,2,2,2,3,2,3,3,2,2,3
371,6,7,6,7,5,6,6,6,6,6
372,6,6,6,7,6,6,5,5,6,6
373,7,7,7,7,7,7,7,7,7,7
374,6,6,6,7,4,4,3,3,2,3
375,5,5,5,6,5,5,4,4,4,5
376,6,6,6,6,5,5,5,5,5,4
377,7,7,6,7,6,6,6,7,6,7
378,6,6,6,7,6,5,5,5,5,5
379,5,6,5,7,4,4,4,3,4,5
380,6,6,5,7,6,6,5,5,5,5
381,4,4,3,5,4,4,3,3,3,4
382,7,7,7,7,6,6,7,7,7,7
383,6,6,6,7,5,5,5,5,6,5
384,7,7,7,7,6,6,6,6,7,7
385,4,4,4,4,4,4,4,4,4,4
386,7,7,7,7,7,7,7,7,7,7
387,4,4,4,5,3,3,3,3,3,4
388,6,7,6,7,5,5,6,6,5,6
389,7,7,7,7,6,6,6,6,6,7
390,7,7,7,7,7,7,7,7,7,7
391,7,7,7,7,6,6,7,7,6,7
392,5,5,5,6,4,4,4,5,5,5
393,1,1,1,1,1,1,1,1,1,1
394,5,5,4,6,4,4,4,4,4,5
395,6,6,6,7,5,5,5,5,6,6
396,6,7,5,6,6,5,4,4,5,5
397,6,7,6,7,5,5,6,6,6,6
398,4,4,3,4,3,3,3,3,4,3
399,5,5,5,6,4,4,4,5,4,4
400,6,7,6,7,5,5,6,6,6,6
401,5,6,5,6,4,4,4,4,5,5
402,6,6,6,7,5,5,5,5,6,6
403,5,5,4,6,4,4,3,3,3,5
404,6,6,6,7,5,5,5,5,6,6
405,6,6,5,6,4,5,5,5,5,6
406,5,6,5,7,6,5,5,5,4,5
407,4,5,4,5,4,3,4,4,4,4
408,5,6,5,6,5,5,4,5,4,5
409,5,5,4,6,4,4,3,3,4,4
410,7,7,7,7,6,6,6,6,7,7
411,6,6,5,6,5,5,5,5,6,6
412,6,6,5,6,5,5,5,5,6,6
413,6,7,6,7,5,5,6,6,5,6
414,7,7,7,7,6,6,7,7,6,7
415,5,6,5,6,4,5,4,4,5,4
416,6,6,5,7,5,4,5,5,5,6
417,5,5,5,6,5,5,4,4,5,5
418,5,6,5,6,4,4,4,4,5,5
419,6,6,6,7,5,5,5,5,5,6
420,6,6,6,7,5,5,6,6,5,6
421,6,6,6,7,5,5,5,5,6,6
422,6,6,5,7,5,5,4,4,4,5
423,6,6,5,6,5,5,5,4,5,5
424,6,6,7,7,6,6,5,6,5,6
425,4,4,4,6,3,3,4,4,4,4
426,7,7,6,7,5,5,6,6,6,6
427,6,6,6,7,5,5,5,6,5,6
428,5,6,5,6,5,4,4,5,4,5
429,6,6,5,6,5,5,5,5,5,5
430,5,6,5,6,5,5,4,4,5,5
431,6,7,6,7,5,6,5,6,6,6
432,5,6,5,6,4,4,5,5,6,5
433,7,7,7,7,7,7,7,7,7,7
434,5,5,5,6,4,4,4,4,5,5
435,4,4,4,5,4,4,4,4,4,4
436,6,6,5,6,5,5,4,4,5,4
437,6,6,5,7,5,5,5,5,5,6
438,3,4,4,5,3,3,3,3,3,3
439,6,7,6,7,6,6,5,5,6,6
440,7,7,6,7,6,6,6,6,6,7
441,6,6,5,6,5,4,4,4,5,5
442,5,6,5,6,4,4,5,5,5,5
443,5,5,5,6,4,4,4,4,5,4
444,6,6,6,7,5,5,4,5,5,5
445,5,5,4,6,4,4,4,5,4,5
446,5,5,4,6,4,4,4,4,4,5
447,6,6,5,7,5,6,5,6,5,6
448,6,6,6,7,5,5,5,5,6,6
449,5,6,5,6,4,4,3,3,4,4
450,6,7,6,7,5,5,6,6,5,6
451,6,6,6,6,5,5,5,6,5,6
452,4,4,4,5,4,4,3,3,3,4
453,5,5,5,6,5,5,4,4,5,4
454,6,6,6,7,6,6,6,6,6,6
455,7,7,6,7,5,5,6,6,6,7
456,6,6,6,7,5,5,5,6,6,6
457,6,7,6,7,6,6,5,5,6,6
458,6,6,5,7,5,5,5,5,5,6
459,7,7,7,7,7,7,7,7,7,7
460,6,6,6,7,5,6,5,5,6,6
461,6,6,6,6,5,5,5,5,5,5
462,5,5,5,6,4,4,4,4,4,5
463,6,6,6,7,5,5,4,4,5,5
464,7,7,6,7,6,6,7,7,6,7
465,4,5,4,5,3,3,4,4,4,4
466,4,4,4,5,4,4,4,4,4,4
467,6,7,6,7,6,6,5,5,5,6
468,5,5,4,5,5,5,4,4,4,4
469,5,5,4,6,4,4,4,4,4,5
470,6,6,5,6,5,5,4,5,5,6
471,7,7,7,7,6,6,6,6,6,7
472,6,6,5,7,5,5,5,5,6,5
473,5,5,4,6,5,5,4,4,4,5
474,6,6,5,7,5,5,6,6,6,6
475,5,5,5,6,4,4,4,4,5,5
476,5,6,5,6,5,5,4,4,5,5
477,5,5,5,6,4,4,5,5,5,5
478,6,6,6,6,5,5,5,5,6,6
479,6,6,6,7,6,6,5,5,6,6
480,3,3,2,4,3,3,2,3,3,4
481,5,6,5,7,4,4,5,5,4,5
482,7,7,7,7,6,6,5,5,7,6
483,6,6,6,7,6,6,5,5,6,6
484,6,7,6,7,6,6,7,7,6,7
485,6,6,5,7,5,5,4,4,5,5
486,7,7,7,7,6,6,7,7,7,7
487,5,6,5,6,4,4,4,4,5,6
488,7,7,7,7,7,7,7,7,7,7
489,5,5,5,6,5,5,4,4,5,5
490,6,7,7,7,6,6,5,6,6,5
491,5,6,5,6,4,3,5,5,5,6
492,5,5,5,6,4,4,4,4,5,5
493,6,6,6,7,5,5,5,5,5,6
494,7,7,6,7,6,6,7,7,6,7
495,5,5,5,6,5,5,4,4,5,4
496,5,5,5,6,4,4,5,5,4,5
497,3,4,2,3,3,3,3,3,3,3
498,7,7,7,7,7,7,7,7,7,7
499,6,6,5,6,5,5,4,4,5,5
500,6,6,6,7,6,6,5,5,6,6
501,4,5,4,6,4,4,3,3,4,4
502,6,6,6,7,5,5,5,5,6,6
503,7,7,6,7,6,6,6,6,7,6
504,6,7,6,7,5,5,5,5,6,6
505,7,7,6,7,6,6,5,5,6,5
506,6,6,5,6,5,5,5,6,5,6
507,4,5,3,5,4,3,3,3,3,4
508,6,6,5,6,5,5,5,5,6,5
509,7,7,6,7,6,6,5,5,6,6
510,6,6,5,7,5,5,4,5,5,6
511,6,6,5,7,5,5,4,4,5,5
512,4,5,4,5,4,4,4,4,4,4
513,6,7,6,7,6,6,6,6,6,6
514,7,7,7,7,7,7,7,7,7,7
515,7,7,6,7,6,6,7,7,6,6
516,7,7,7,7,6,6,6,6,6,7
517,2,2,3,3,3,3,2,3,3,3
518,6,7,5,7,6,5,5,6,6,6
519,7,7,7,7,7,7,7,7,7,7
520,5,6,5,6,5,5,4,4,5,5
521,6,6,6,7,5,5,6,6,6,6
522,4,5,4,5,3,3,4,4,5,4
523,6,6,5,7,5,5,4,4,5,6
524,6,6,6,7,5,5,6,6,6,6
525,6,6,6,7,6,6,5,5,5,6
526,6,6,6,7,6,6,5,5,5,6
527,4,4,4,4,4,4,4,4,4,4
528,7,7,7,7,6,6,6,6,7,7
529,7,7,7,7,6,6,6,6,7,7
530,6,6,5,7,5,5,5,5,5,6
531,5,5,5,6,4,4,4,4,3,4
532,5,5,4,6,4,4,3,3,4,5
533,5,6,5,6,5,5,4,4,5,5
534,4,4,4,5,4,4,4,4,4,4
535,5,6,5,6,5,5,4,4,5,5
536,7,7,7,7,7,7,7,7,7,7
537,4,3,3,3,3,3,3,3,2,3
538,6,7,6,7,6,6,6,6,7,6
539,7,7,7,7,4,4,7,7,7,7
540,6,6,6,7,6,6,5,5,5,6
541,6,6,5,6,5,5,4,4,5,4
542,6,7,6,7,5,5,5,5,5,6
543,5,5,5,6,5,5,5,5,5,6
544,6,7,6,7,5,5,6,6,5,6
545,5,5,5,6,4,4,5,5,5,5
546,5,5,4,6,4,4,4,5,4,5
547,5,5,5,6,5,5,4,4,5,5
548,7,7,7,7,6,6,6,6,7,7
549,7,7,7,7,7,7,7,7,7,7
550,6,6,6,7,5,5,5,5,6,5
551,5,5,5,6,4,4,4,4,5,5
552,5,5,4,6,5,5,4,4,4,4
553,5,6,5,6,5,5,4,4,5,5
554,5,6,5,6,4,4,5,5,5,5
555,7,7,7,7,7,7,7,7,7,7
556,5,6,5,6,4,4,5,5,5,6
557,6,6,5,7,5,5,6,6,5,6
558,6,7,6,7,5,6,6,6,5,6
559,5,6,4,6,5,4,4,5,5,4
560,6,7,6,7,6,6,5,5,6,6
561,7,7,7,7,6,6,6,6,7,7
562,6,7,6,7,5,5,6,6,5,6
563,5,4,4,6,3,3,3,4,4,5
564,6,6,6,7,6,6,6,6,6,6
565,6,7,6,7,6,6,5,5,5,6
566,7,7,7,7,6,6,6,6,7,6
567,6,7,6,7,6,6,5,5,6,6
568,4,4,6,7,3,3,2,2,4,3
569,7,7,7,7,6,6,6,6,7,7
570,7,7,7,7,7,7,7,7,7,7
571,6,7,7,7,6,6,5,6,5,6
572,5,6,5,6,4,4,4,5,5,6
573,5,5,5,6,4,4,3,4,5,4
574,3,3,3,5,4,4,3,3,3,3
575,6,6,5,7,5,5,5,5,6,6
576,7,7,6,7,6,6,5,5,6,7
577,4,5,5,6,4,4,3,3,4,4
578,6,6,6,7,6,6,5,5,5,5
579,7,7,7,7,6,6,7,7,7,7
580,5,5,5,6,5,5,4,4,5,5
581,7,7,7,7,7,7,7,7,7,7
582,7,7,7,7,6,6,6,6,7,7
583,7,7,7,7,6,6,7,6,7,7
584,5,6,5,6,5,5,4,4,4,4
585,6,7,6,7,6,5,5,6,5,6
586,6,6,6,6,5,5,5,5,6,6
587,6,6,6,7,5,5,5,5,4,5
588,6,6,5,7,5,5,6,6,6,6
589,6,6,5,7,6,6,5,5,5,6
590,6,6,6,7,5,5,5,5,5,5
591,6,7,6,7,5,5,6,6,6,6
592,6,7,6,7,5,5,4,5,6,5
593,6,7,6,7,6,7,5,5,6,6
594,5,5,5,6,5,5,4,4,5,4
595,7,7,7,7,7,7,7,7,7,7
596,4,5,4,6,3,3,4,4,3,5
597,6,6,5,6,5,5,5,5,5,6
598,7,7,7,7,6,6,6,6,6,6
599,4,4,3,5,3,3,3,3,4,3
600,7,7,6,7,6,6,6,6,6,6
601,5,6,5,6,5,5,5,5,4,5
602,6,6,6,7,5,5,5,5,5,5
603,6,6,6,7,5,5,4,5,5,6
604,7,7,7,7,6,6,6,6,6,6
605,7,7,7,7,6,6,7,7,7,7
606,6,6,5,7,5,5,5,5,5,5
607,5,6,4,6,5,5,4,4,5,5
608,7,7,7,7,6,6,6,6,6,6
609,6,6,5,7,5,5,5,5,5,6
610,6,7,6,7,6,6,5,5,6,6
611,7,7,6,7,6,6,6,6,6,7
612,5,6,6,6,5,5,4,5,5,5
613,5,5,5,6,5,5,4,4,4,5
614,6,6,5,7,5,5,4,4,5,5
615,6,7,6,7,6,6,5,5,5,6
616,7,7,7,7,6,6,6,6,7,7
617,6,6,5,6,5,5,4,5,5,5
618,6,7,6,7,6,6,6,6,6,7
619,6,7,6,7,6,6,5,6,6,6
620,5,5,4,6,5,5,4,4,4,5
621,6,7,6,6,5,5,6,6,5,6
622,6,5,5,6,6,5,4,5,4,5
623,6,6,5,7,5,5,6,6,5,6
624,6,6,5,6,5,5,4,4,5,5
625,7,7,7,7,6,6,7,6,6,6
626,6,6,6,7,5,4,5,5,5,6
627,5,5,4,6,4,4,4,4,4,4
628,6,6,5,6,5,5,4,4,5,5
629,7,7,7,7,7,7,7,7,7,7
630,6,6,6,7,5,5,5,5,5,5
631,2,2,2,2,3,2,2,2,1,1
