index,Q1,Q2,Q3,Q4
208,4,3,2,2
209,3,2,2,1
210,3,3,2,2
211,3,3,2,2
212,3,3,2,2
213,3,2,2,2
214,4,3,2,2
215,3,4,2,2
216,3,3,2,2
217,3,4,2,2
218,3,4,2,3
219,3,2,2,2
220,3,3,2,2
221,3,2,2,2
222,3,3,2,2
223,4,3,2,2
224,3,2,2,2
225,3,3,2,2
226,3,3,2,2
227,3,3,2,2
228,3,3,2,2
229,3,4,2,2
230,3,4,3,2
231,3,4,2,3
232,3,3,2,2
233,3,3,2,2
234,3,2,2,2
235,3,2,2,3
236,4,3,3,2
237,3,4,3,2
238,3,2,2,2
239,3,4,3,2
240,3,3,2,2
241,3,2,2,2
242,3,3,2,2
243,3,3,2,2
244,3,4,2,3
245,3,2,2,2
246,3,4,3,2
247,3,2,2,2
248,3,3,2,2
249,3,2,2,2
250,3,3,2,2
251,3,3,2,2
252,3,2,2,2
253,3,4,2,2
254,3,2,2,2
255,3,4,2,2
256,3,2,2,2
257,4,3,2,2
258,3,3,2,2
259,3,2,2,3
260,3,4,3,2
261,3,3,2,2
262,3,3,2,2
263,3,4,2,2
264,3,4,2,2
265,3,4,3,2
266,3,3,2,2
267,3,4,2,2
268,3,4,3,2
269,3,4,2,2
270,3,2,2,2
271,3,4,2,3
272,3,3,2,2
273,3,2,2,2
274,3,4,2,2
275,3,4,2,2
276,3,3,2,2
277,3,4,2,2
278,3,2,2,2
279,3,3,2,2
280,3,4,3,2
281,3,4,2,2
282,3,3,2,2
283,3,4,2,2
284,3,2,2,1
285,3,4,2,2
286,3,4,2,2
287,3,4,3,2
288,3,3,2,2
289,3,2,2,2
290,3,3,2,2
291,3,2,2,2
292,3,4,3,2
293,3,3,2,2
294,3,4,3,2
295,3,4,2,2
296,3,2,2,2
297,3,4,2,2
298,3,2,2,2
299,3,3,2,2
300,3,3,2,2
301,3,4,2,2
302,3,4,2,2
303,3,3,2,2
304,3,4,3,2
305,3,3,2,2
306,3,3,2,2
307,4,3,2,2
308,3,3,2,2
309,3,4,2,2
310,3,4,3,2
311,3,2,2,2
312,3,3,2,2
313,3,3,2,2
314,3,4,3,2
315,3,3,2,2
316,4,3,2,2
317,3,2,2,2
318,3,4,2,2
319,3,3,2,2
320,3,4,3,2
321,3,4,3,2
322,4,3,3,2
323,3,4,2,2
324,3,2,3,2
325,3,3,2,2
326,3,3,2,2
327,3,3,2,2
328,3,4,2,2
329,4,3,3,2
330,3,4,2,2
331,3,2,2,2
332,3,4,2,3
333,3,2,2,2
334,4,3,3,2
335,4,3,2,2
336,3,4,2,2
337,4,3,3,2
338,3,4,3,2
339,3,2,2,2
340,3,2,2,2
341,3,3,2,2
342,3,4,2,2
343,3,3,2,2
344,3,2,2,2
345,3,4,2,2
346,3,2,2,2
347,3,2,2,2
348,3,3,2,2
349,3,4,3,2
350,3,2,2,2
351,3,4,2,3
352,3,3,2,2
353,3,3,2,2
354,3,2,2,2
355,3,4,3,2
356,3,4,3,2
357,3,4,2,2
358,3,3,2,2
359,3,3,2,2
360,3,3,2,2
361,3,3,2,2
362,3,3,2,2
363,3,3,2,2
364,3,4,2,2
365,3,2,2,1
366,3,2,2,2
367,3,3,2,2
368,3,4,3,2
369,3,4,3,2
370,3,4,2,2
371,3,3,2,2
372,3,4,2,2
373,3,2,2,2
374,3,3,2,2
375,3,3,2,2
376,3,3,2,2
377,3,3,2,2
378,3,4,3,2
379,3,3,2,2
380,3,3,2,2
381,3,2,2,2
382,4,3,2,2
383,3,4,2,2
384,3,3,2,2
385,4,3,2,2
386,4,3,3,2
387,3,3,2,2
388,3,3,2,2
389,3,3,2,2
390,3,2,2,2
391,3,3,2,2
392,3,2,2,2
393,3,3,2,2
394,3,3,2,2
395,3,3,2,2
396,3,2,2,2
397,3,3,2,2
398,3,3,2,2
399,3,3,2,2
400,3,4,2,2
401,3,2,2,1
402,3,3,2,2
403,3,3,2,2
404,3,4,2,2
405,3,3,2,2
406,3,4,2,2
407,3,2,2,2
408,3,3,2,2
409,3,4,3,2
410,3,3,2,2
411,3,4,2,2
412,3,3,2,2
413,3,3,2,2
414,4,3,2,2
415,3,3,2,2
416,3,2,2,1
417,3,3,2,2
418,3,2,2,2
419,3,3,2,2
420,3,4,2,2
421,3,3,2,2
422,3,2,2,2
423,3,2,2,2
424,3,2,2,2
425,3,2,2,2
426,3,3,2,2
427,3,3,2,2
428,3,2,2,3
429,3,2,2,2
430,3,4,3,2
431,3,4,2,3
432,3,3,2,2
433,3,4,2,2
434,3,3,2,2
435,3,3,2,2
436,3,3,2,2
437,3,2,2,2
438,3,2,3,2
439,3,3,2,2
440,3,4,2,3
441,3,3,2,2
442,3,3,2,2
443,3,2,2,2
444,3,3,2,2
445,3,3,2,2
446,3,2,2,2
447,3,4,2,2
448,3,4,3,2
449,3,2,2,2
450,3,4,3,2
451,3,3,2,2
452,4,3,2,2
453,3,2,2,2
454,4,3,3,2
455,3,3,2,2
456,3,2,3,2
457,3,3,2,2
458,3,3,2,2
459,3,3,2,2
460,3,2,2,2
461,3,3,2,2
462,3,3,2,2
463,3,2,2,2
464,3,3,2,2
465,3,2,2,2
466,4,3,3,2
467,3,2,2,1
468,3,3,2,2
469,3,3,2,2
470,2,3,2,2
471,3,2,2,2
472,3,3,2,2
473,3,2,2,2
474,4,3,2,2
475,3,3,2,2
476,4,3,2,2
477,3,4,3,2
478,3,3,2,2
479,3,3,2,2
480,3,2,2,1
481,3,2,2,2
482,3,2,2,2
483,4,3,2,2
484,3,3,2,2
485,3,3,2,2
486,3,3,2,2
487,3,3,2,2
488,3,3,2,2
489,3,2,2,2
490,3,2,2,2
491,3,3,2,2
492,3,4,2,2
493,4,3,2,2
494,4,3,2,2
495,3,4,2,2
496,3,4,2,2
497,3,2,2,2
498,3,2,2,2
499,3,3,2,2
500,3,3,2,2
501,3,4,2,2
502,3,4,2,2
503,3,2,2,2
504,3,4,2,2
505,3,4,2,2
506,3,3,2,2
507,3,3,2,2
508,3,2,2,2
509,3,2,2,2
510,3,4,2,2
511,3,3,2,2
512,3,2,2,2
513,3,4,3,2
514,3,2,2,2
515,3,3,2,2
516,3,2,2,2
517,3,3,2,2
518,3,4,3,2
519,4,3,2,3
520,3,4,3,2
521,3,4,2,2
522,2,3,2,2
523,3,2,2,2
524,3,2,2,2
525,3,3,2,2
526,3,2,2,2
527,3,3,2,2
528,3,4,2,2
529,4,3,2,2
530,3,4,2,2
531,3,2,2,2
532,3,2,2,2
533,3,2,2,2
534,3,3,2,2
535,3,4,2,2
536,3,4,2,2
537,3,3,2,2
538,3,3,2,2
539,3,4,2,2
540,3,2,2,2
541,3,4,3,2
542,3,4,2,2
543,3,3,2,2
544,3,2,2,3
545,3,2,2,2
546,3,3,2,2
547,3,3,2,2
548,3,3,2,2
549,3,3,2,2
550,3,4,3,2
551,3,2,2,1
552,3,2,2,2
553,3,2,2,2
554,3,3,2,2
555,3,3,2,2
556,3,4,2,2
557,3,4,3,2
558,3,3,2,2
559,3,3,2,2
560,3,4,2,3
561,4,3,2,2
562,3,4,3,2
563,3,3,2,2
564,3,4,2,2
565,3,2,2,2
566,3,3,2,2
567,3,4,2,3
568,3,3,2,2
569,3,2,2,2
570,3,4,2,2
571,3,3,2,2
572,3,4,2,2
573,3,2,2,2
574,3,3,2,2
575,3,2,2,1
576,3,4,2,2
577,3,4,2,2
578,3,2,2,2
579,3,3,2,2
580,3,3,2,2
581,4,3,2,2
582,3,4,2,2
583,3,3,2,2
584,3,3,2,2
585,3,2,2,2
586,3,3,2,2
587,4,3,2,3
588,4,3,2,2
589,3,4,2,2
590,3,2,2,2
591,3,2,2,2
592,3,3,2,2
593,3,3,2,2
594,4,3,2,2
595,3,2,2,1
596,3,3,2,2
597,4,3,2,2
598,3,3,2,2
599,3,3,2,2
600,3,3,2,2
601,3,3,2,2
602,3,4,3,2
603,3,2,2,1
604,3,3,2,2
605,3,2,2,2
606,3,3,2,2
607,3,3,2,2
608,3,4,3,2
609,3,4,2,2
610,3,4,3,2
611,4,3,2,2
612,3,3,2,2
613,3,4,3,2
614,3,3,2,2
615,3,3,2,2
616,3,2,2,2
617,4,3,2,2
618,3,4,2,2
619,3,2,2,2
620,3,3,2,2
621,3,4,3,2
622,3,2,2,2
623,3,4,2,2
624,2,2,3,2
625,3,3,2,2
626,3,3,2,2
627,3,3,2,2
628,3,4,3,2
629,4,3,3,2
630,3,3,2,2
631,3,4,2,2
632,3,2,2,2
633,3,3,2,2
634,3,3,2,2
635,3,2,2,2
636,3,3,2,2
637,3,3,2,2
638,3,3,2,2
639,3,2,2,1
640,3,2,2,2
641,3,3,2,2
642,4,3,2,2
643,3,3,2,2
644,3,3,2,2
645,3,3,2,2
646,3,2,2,2
647,4,3,2,2
648,3,4,2,3
649,4,3,2,2
650,2,3,2,1
651,3,2,2,2
652,3,3,2,2
653,4,3,2,3
654,3,3,2,2
655,3,4,2,2
656,4,3,2,2
657,3,4,3,2
658,3,3,2,2
659,3,2,2,2
660,3,3,2,2
661,3,3,2,2
662,3,4,2,2
663,3,2,2,2
664,3,3,2,2
665,3,4,2,2
666,3,2,2,2
667,3,3,2,2
668,4,3,2,2
669,3,4,3,2
670,3,3,2,2
671,3,4,2,2
672,4,3,2,2
673,3,4,3,2
674,3,3,2,2
675,3,4,3,2
676,3,3,2,2
677,3,4,3,2
678,3,4,2,2
679,3,4,2,2
680,3,3,2,2
681,3,4,2,2
682,3,2,2,2
683,3,4,2,2
684,3,4,2,3
685,3,4,2,2
686,3,4,2,3
687,3,3,2,2
688,3,2,2,2
689,3,3,2,2
690,3,4,2,2
691,3,2,2,3
692,3,3,2,2
693,3,3,2,2
694,3,3,2,2
695,3,4,2,2
696,3,2,2,2
697,3,3,2,2
698,3,4,2,2
699,3,3,2,2
700,3,3,2,2
701,3,2,2,1
702,3,4,3,2
703,3,4,2,2
704,3,3,2,2
705,3,3,2,2
706,3,4,2,2
707,3,3,2,2
708,3,4,2,2
709,3,3,2,2
710,3,3,2,2
711,3,4,2,2
712,3,3,2,2
713,3,3,2,2
714,3,4,2,2
715,4,4,3,3
716,3,3,2,2
717,3,2,2,2
718,3,2,2,2
719,3,4,2,2
720,3,3,2,2
721,4,3,2,2
722,3,2,2,2
723,3,2,2,2
724,3,4,2,2
725,3,4,2,2
726,3,2,2,2
727,3,4,3,2
728,3,3,2,2
729,3,4,2,2
730,3,4,3,2
731,3,3,2,2
732,3,2,2,2
733,3,3,2,2
734,3,4,2,2
735,3,2,2,2
736,3,2,2,2
737,3,2,2,2
738,3,4,2,2
739,3,3,2,2
740,3,4,3,2
741,3,4,2,3
742,3,4,2,2
743,3,3,2,2
744,3,3,2,2
745,3,3,2,2
746,3,2,2,2
747,3,4,2,2
748,3,2,2,2
749,3,3,2,2
750,3,4,3,2
751,3,4,3,2
752,3,2,2,2
753,3,2,2,2
754,3,3,2,2
755,3,2,2,2
756,3,3,2,2
757,3,4,2,2
758,3,4,2,3
759,3,3,2,2
760,3,2,2,2
761,3,3,2,2
762,3,2,2,2
763,3,3,2,2
764,4,3,2,3
765,3,3,2,2
766,3,4,3,2
767,3,4,2,2
768,4,3,2,2
769,3,2,2,2
770,3,2,2,2
771,3,4,2,2
772,3,4,2,2
773,3,4,2,2
774,4,3,2,2
775,3,2,2,2
776,3,3,2,2
777,3,4,3,2
778,3,3,2,2
779,3,2,2,2
780,3,3,2,2
781,3,3,2,2
782,3,4,3,2
783,3,3,2,2
784,4,3,2,2
785,3,3,2,2
786,4,3,3,2
787,3,3,2,2
788,3,3,2,2
789,3,4,2,2
790,3,3,2,2
791,3,4,3,2
792,3,3,2,2
793,3,3,2,2
794,3,3,2,2
795,3,3,2,2
796,3,2,2,2
797,4,3,2,2
798,3,3,2,2
799,3,4,3,2
800,3,3,2,2
801,3,3,2,2
802,3,4,2,2
803,3,2,2,2
804,3,4,2,2
805,3,3,2,2
806,3,2,2,2
807,3,4,2,2
808,3,2,3,2
809,3,2,2,2
810,3,4,3,2
811,3,2,2,2
812,3,3,2,2
813,3,3,2,2
814,3,3,2,2
815,3,4,2,2
816,3,3,2,2
817,3,3,2,2
818,3,4,2,2
819,3,3,2,2
820,3,4,3,2
821,3,3,2,2
822,3,4,2,2
823,3,3,2,2
824,3,4,3,2
825,3,3,2,2
826,4,3,2,2
827,3,3,2,2
828,3,3,2,2
829,4,3,2,2
830,3,2,2,2
831,3,2,2,2
832,2,3,2,2
833,3,3,2,2
834,3,3,2,2
835,3,3,2,2
836,3,3,2,2
837,3,3,2,2
838,3,4,3,2
839,3,4,2,2
840,3,3,2,2
841,3,2,2,2
842,4,3,3,2
843,3,3,2,2
844,3,2,2,2
845,3,4,3,2
846,3,3,2,2
847,3,3,2,2
848,3,2,2,2
849,3,4,2,2
850,3,3,2,2
851,3,4,2,2
852,3,3,2,2
853,3,3,2,2
854,3,2,2,2
855,3,4,2,2
856,3,2,2,2
857,4,3,2,2
858,3,3,2,2
859,3,4,2,3
860,3,3,2,2
861,3,3,2,2
862,3,4,2,2
863,3,3,2,2
864,3,4,2,2
865,3,4,2,2
866,3,3,2,2
867,3,3,2,2
868,3,2,2,2
869,4,3,3,2
870,3,2,2,2
871,3,3,2,2
872,3,2,2,2
873,3,4,3,2
874,3,2,2,2
875,3,3,2,2
876,3,4,3,2
877,4,3,2,2
878,3,2,2,2
879,3,2,2,2
880,3,2,2,2
881,3,3,2,2
882,3,3,2,2
883,3,3,2,2
884,3,4,3,2
885,3,4,3,2
886,3,3,2,2
887,3,2,2,1
888,3,3,2,2
889,3,4,2,2
890,4,3,3,2
891,3,3,2,2
892,3,2,2,2
893,3,3,2,2
894,4,3,2,2
895,4,3,3,2
896,3,2,2,2
897,3,4,2,2
898,3,2,2,2
899,3,2,2,2
900,3,2,2,2
901,3,4,2,2
902,3,2,3,2
903,4,3,3,2
904,3,3,2,2
905,3,3,2,2
906,3,2,2,2
907,3,2,2,2
908,4,3,3,2
909,3,3,2,2
910,3,2,2,2
911,3,2,2,2
912,3,2,2,2
913,3,3,2,2
914,3,3,2,2
915,3,3,2,2
916,3,4,2,3
917,3,3,2,2
918,3,3,2,2
919,3,2,2,2
920,4,3,3,2
921,3,3,2,2
922,2,2,3,2
923,3,2,2,2
924,3,4,3,2
925,3,3,2,2
926,3,3,2,2
927,3,3,2,2
928,4,3,2,3
929,3,4,2,2
930,3,2,2,1
931,3,3,2,2
932,3,3,2,2
933,3,3,2,2
934,3,3,2,2
935,3,3,2,2
936,3,4,2,2
937,3,3,2,2
938,3,4,2,2
939,3,3,2,2
940,3,4,2,3
941,3,4,2,2
942,3,3,2,2
943,3,2,2,3
944,3,3,2,2
945,3,2,2,2
946,4,3,3,2
947,4,3,2,2
948,4,3,2,2
949,3,3,2,2
950,3,3,2,2
951,3,3,2,2
952,3,2,2,2
953,3,4,2,2
954,3,2,2,2
955,3,3,2,2
956,3,3,2,2
957,3,3,2,2
958,3,4,2,2
959,3,3,2,2
960,3,3,2,2
961,3,3,2,2
962,3,4,3,2
963,3,3,2,2
964,3,3,2,2
965,3,2,2,2
966,3,3,2,2
967,3,3,2,2
968,3,3,2,2
969,3,4,3,2
970,3,2,2,2
971,3,2,2,3
972,3,3,2,2
973,3,4,2,2
974,3,3,2,2
975,3,3,2,2
976,3,2,2,2
977,3,3,2,2
978,3,4,2,2
979,3,4,2,2
980,3,4,3,2
981,3,4,2,2
982,4,3,3,2
983,3,3,2,2
984,3,3,2,2
985,4,3,2,3
986,3,2,2,1
987,3,2,3,2
988,3,4,2,2
989,3,3,2,2
990,3,3,2,2
991,3,3,2,2
992,3,3,2,2
993,3,3,2,2
994,3,3,2,2
995,3,3,2,2
996,3,4,2,2
997,3,4,2,2
998,3,3,2,2
999,3,3,2,2
1000,3,4,2,2
1001,3,2,2,2
1002,3,4,2,2
1003,3,3,2,2
1004,3,4,3,2
1005,3,2,2,2
1006,3,2,2,3
1007,3,4,2,2
1008,2,3,2,1
1009,3,2,2,2
1010,3,4,2,2
1011,3,4,2,2
1012,3,4,2,2
1013,3,2,2,1
1014,3,4,3,2
1015,4,3,2,3
1016,3,2,2,2
1017,3,4,2,2
1018,3,3,2,2
1019,3,2,2,2
1020,3,3,2,2
1021,3,4,2,2
1022,3,4,3,2
1023,3,3,2,2
1024,3,4,2,3
1025,3,4,2,2
1026,3,2,2,2
1027,3,3,2,2
1028,3,3,2,2
1029,3,4,2,2
1030,3,2,2,2
1031,3,4,3,2
1032,3,4,2,3
1033,3,3,2,2
1034,3,2,2,2
1035,3,3,2,2
1036,3,3,2,2
1037,3,3,2,2
1038,3,4,3,2
1039,3,2,2,2
1040,3,3,2,2
1041,3,3,2,2
1042,3,2,2,2
1043,3,3,2,2
1044,3,3,2,2
1045,3,3,2,2
1046,3,4,3,2
1047,3,3,2,2
1048,3,3,2,2
1049,3,3,2,2
1050,3,3,2,2
1051,3,3,2,2
1052,3,3,2,2
1053,3,4,2,2
1054,4,3,2,3
1055,3,3,2,2
1056,3,3,2,2
1057,3,2,2,2
1058,3,3,2,2
1059,3,3,2,2
1060,3,3,2,2
1061,3,2,2,2
1062,3,3,2,2
1063,3,3,2,2
1064,4,3,2,3
1065,3,3,2,2
1066,3,3,2,2
1067,3,2,2,1
1068,3,3,2,2
1069,3,4,2,3
1070,4,3,2,2
1071,3,3,2,2
1072,3,3,2,2
1073,3,2,2,2
1074,3,3,2,2
1075,3,3,2,2
1076,3,3,2,2
1077,3,2,2,2
1078,3,4,3,2
1079,3,4,2,2
1080,3,4,3,2
1081,3,3,2,2
1082,3,3,2,2
1083,3,3,2,2
1084,3,4,2,2
1085,3,2,2,2
1086,4,3,2,2
1087,3,3,2,2
1088,3,4,2,3
1089,3,2,2,2
1090,3,3,2,2
1091,3,3,2,2
1092,3,3,2,2
1093,3,3,2,2
1094,3,3,2,2
1095,3,4,2,3
1096,3,3,2,2
1097,3,3,2,2
1098,3,3,2,2
1099,3,2,2,2
1100,3,2,2,2
1101,3,4,3,2
1102,3,4,2,2
1103,3,4,2,2
1104,3,4,2,3
1105,3,4,3,2
1106,3,2,2,1
1107,3,2,2,2
1108,3,4,3,2
1109,3,3,2,2
1110,3,4,3,2
1111,4,3,3,2
1112,3,3,2,2
1113,3,4,2,3
1114,3,3,2,2
1115,3,4,3,2
1116,3,3,2,2
1117,3,2,2,2
1118,3,3,2,2
1119,3,2,2,2
1120,3,4,3,2
1121,3,4,2,2
1122,3,3,2,2
1123,3,2,2,1
1124,3,2,2,2
1125,3,3,2,2
1126,3,2,2,2
1127,3,2,2,2
1128,3,4,2,2
1129,3,4,3,2
1130,3,4,3,2
1131,3,2,2,2
1132,4,3,2,3
1133,3,4,2,3
1134,3,4,2,2
1135,3,3,2,2
1136,3,2,2,2
1137,3,3,2,2
1138,3,2,3,2
1139,3,2,2,2
1140,3,2,2,2
1141,4,3,2,2
1142,3,3,2,2
1143,3,4,3,2
1144,3,4,2,2
1145,3,2,2,2
1146,3,4,3,2
1147,3,2,2,2
1148,3,3,2,2
1149,3,4,2,2
1150,3,4,2,3
1151,3,3,2,2
1152,3,2,2,1
1153,3,4,2,2
1154,3,2,2,2
1155,3,4,2,2
1156,3,3,2,2
1157,3,2,2,2
1158,3,4,3,2
1159,3,4,3,2
1160,3,2,2,2
1161,4,3,2,2
1162,3,4,3,2
1163,3,2,2,2
1164,3,4,2,2
1165,3,2,2,2
1166,3,4,2,2
1167,3,4,2,2
1168,4,3,2,2
1169,3,2,2,2
1170,3,2,2,2
1171,3,3,2,2
1172,3,4,3,2
1173,3,4,3,2
1174,3,3,2,2
1175,3,3,2,2
1176,3,2,3,2
1177,3,2,2,2
1178,3,4,2,2
1179,3,2,2,1
1180,3,3,2,2
1181,3,3,2,2
1182,3,2,2,2
1183,3,4,2,2
1184,3,3,2,2
1185,3,3,2,2
1186,3,2,2,2
1187,3,2,2,2
1188,3,4,3,2
1189,3,3,2,2
1190,3,4,3,2
1191,3,4,3,2
1192,3,3,2,2
1193,3,3,2,2
1194,4,3,2,2
1195,3,3,2,2
1196,3,3,2,2
1197,3,2,2,3
1198,4,3,3,2
1199,2,3,2,1
1200,3,4,3,2
1201,3,3,2,2
1202,3,2,2,2
1203,3,3,2,2
1204,3,3,2,2
1205,3,3,2,2
1206,3,3,2,2
1207,3,3,2,2
1208,3,2,2,3
1209,3,3,2,2
1210,3,4,3,2
1211,3,2,2,2
1212,3,2,2,2
1213,3,2,2,2
1214,3,3,2,2
1215,3,3,2,2
1216,3,4,2,2
1217,3,3,2,2
1218,3,3,2,2
1219,3,4,2,2
1220,3,4,2,2
1221,3,4,3,2
1222,3,2,2,2
1223,3,2,2,2
1224,3,4,2,2
1225,3,3,2,2
1226,3,2,2,2
1227,3,2,2,2
1228,3,3,2,2
1229,3,2,2,2
1230,3,4,2,2
1231,4,3,2,2
1232,3,3,2,2
1233,3,4,3,2
1234,3,3,2,2
1235,3,3,2,2
1236,3,2,2,2
1237,3,4,2,2
1238,3,3,2,2
1239,3,4,2,2
1240,3,2,2,2
1241,3,4,2,2
1242,3,3,2,2
1243,3,3,2,2
1244,3,2,2,2
1245,3,4,2,3
1246,3,4,2,2
1247,3,3,2,2
1248,3,3,2,2
1249,3,2,2,2
1250,3,2,2,2
1251,3,3,2,2
1252,3,2,2,2
1253,3,3,2,2
1254,3,2,2,1
1255,3,3,2,1
1256,3,4,3,2
1257,3,3,2,2
1258,3,4,2,2
1259,3,3,2,2
1260,3,3,2,2
1261,3,3,2,2
1262,3,3,2,2
1263,3,3,2,2
1264,4,3,3,2
1265,3,3,2,2
1266,3,2,2,2
1267,3,4,2,2
1268,3,3,2,2
1269,3,4,2,2
1270,3,3,2,2
1271,3,2,2,2
1272,3,4,2,2
1273,3,4,2,2
1274,3,3,2,2
1275,3,2,2,1
1276,3,3,2,2
1277,3,3,2,2
1278,3,3,2,2
1279,3,2,3,2
1280,3,4,2,2
1281,3,3,2,2
1282,3,4,3,2
1283,3,3,2,2
1284,3,4,2,2
1285,3,4,2,2
1286,3,2,2,2
1287,3,2,2,2
1288,3,2,2,2
1289,3,4,2,2
1290,3,4,3,2
1291,3,3,2,2
1292,3,3,2,2
1293,3,4,2,3
1294,3,3,2,2
1295,3,3,2,2
1296,3,2,2,2
1297,3,4,3,2
1298,3,3,2,2
1299,3,2,2,2
1300,3,2,2,2
1301,3,4,3,2
1302,3,3,2,2
1303,3,3,2,2
1304,3,2,2,1
1305,3,3,2,2
1306,3,4,2,3
1307,4,3,2,2
1308,3,3,2,2
1309,3,2,2,2
1310,3,4,3,2
1311,3,3,2,2
1312,3,3,2,2
1313,3,2,2,2
1314,3,3,2,2
1315,3,3,2,2
1316,3,2,2,2
1317,3,3,2,2
1318,3,3,2,2
1319,3,2,2,1
1320,3,2,2,1
1321,3,3,2,2
1322,3,2,2,1
1323,3,3,2,2
1324,3,4,2,2
1325,3,4,2,2
1326,3,3,2,2
1327,3,3,2,2
1328,3,3,2,2
1329,3,4,2,3
1330,3,2,2,2
1331,3,3,2,2
1332,3,3,2,2
1333,3,3,2,2
1334,3,3,2,2
1335,3,2,2,2
1336,4,3,2,3
1337,3,2,2,2
1338,3,4,3,2
1339,3,3,2,2
1340,3,4,2,2
1341,3,2,2,2
1342,3,4,2,3
1343,3,3,3,2
1344,3,3,2,2
1345,3,4,2,2
1346,3,2,2,2
1347,3,3,2,2
1348,3,4,2,2
1349,3,2,2,2
1350,4,3,3,2
1351,3,3,2,2
1352,3,4,2,2
1353,3,2,2,2
1354,3,3,2,2
1355,3,3,2,2
1356,3,3,2,2
1357,3,3,2,2
1358,3,3,2,2
1359,3,2,2,2
